,Industry,Type,UAA,Ratio to Industry
"Price/Earnings (TTM, GAAP)",25.45,Valuation,49.24,1.9347740667976425
Price/Sales (TTM),3.28,Valuation,0.81,0.24695121951219515
Price/Book (MRQ),12.03,Valuation,2.1,0.1745635910224439
"PEG Ratio (TTM, GAAP)",1.0,Valuation,6.37,6.37
Gross Profit Margin (TTM),0.4827,Profitability,0.469,0.9716179821835508
Operating Profit Margin (TTM),0.12090000000000001,Profitability,0.045,0.3722084367245657
Net Profit Margin (TTM),0.102,Profitability,0.0265,0.25980392156862747
Annual Dividend Yield,0.0117,Dividend,,
Dividend Change %,0.0692,Dividend,,
"Dividend Growth Rate, 3 Years",0.0758,Dividend,,
EPS Growth (MRQ),-0.3258,Gowth rates,-1.1506,3.531614487415593
EPS Growth (TTM),0.2535,Gowth rates,10.064,39.700197238658774
Revenue Growth (MRQ),0.09380000000000001,Gowth rates,0.008199999999999999,0.08742004264392322
Revenue Growth (TTM),0.0782,Gowth rates,0.014199999999999999,0.1815856777493606
Return On Equity (TTM),0.3899,Effectiveness,0.0442,0.11336240061554245
Return On Assets (TTM),0.1565,Effectiveness,0.0308,0.19680511182108626
Return On Investment (TTM),0.21960000000000002,Effectiveness,0.044000000000000004,0.20036429872495445
Revenue Per Employee (TTM),452597.0,Effectiveness,752447.0,1.662509915001646
Total Debt/Total Capital (MRQ),0.25680000000000003,Financial strength,0.2161,0.8415109034267911
Change in Debt/Total Capital Quarter over Quarter,-0.0009,Financial strength,-0.0029,3.222222222222222
Quick Ratio (MRQ),1.37,Financial strength,1.27,0.927007299270073
Interest Coverage (MRQ),406.61,Financial strength,13.91,0.03420968495610044
