,HRB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",8.05,96.45,Valuation,0.08346293416277864
Price/Sales (TTM),0.95,5.07,Valuation,0.18737672583826429
Price/Book (MRQ),,7.28,Valuation,
"PEG Ratio (TTM, GAAP)",0.81,2.29,Valuation,0.3537117903930131
Gross Profit Margin (TTM),0.4282,0.5155,Profitability,0.8306498545101844
Operating Profit Margin (TTM),0.1773,0.0987,Profitability,1.7963525835866263
Net Profit Margin (TTM),0.1352,0.0618,Profitability,2.187702265372168
Annual Dividend Yield,0.0667,0.0051,Dividend,13.078431372549018
Dividend Change %,0.0417,0.0234,Dividend,1.782051282051282
"Dividend Growth Rate, 3 Years",0.0772,0.013000000000000001,Dividend,5.938461538461539
EPS Growth (MRQ),0.2878,-0.3472,Gowth rates,-0.8289170506912442
EPS Growth (TTM),-0.39420000000000005,0.4207,Gowth rates,-0.937009745661992
Revenue Growth (MRQ),2.2289,0.12840000000000001,Gowth rates,17.35903426791277
Revenue Growth (TTM),0.0024,0.1594,Gowth rates,0.015056461731493099
Return On Equity (TTM),,0.065,Effectiveness,
Return On Assets (TTM),0.142,0.0403,Effectiveness,3.5235732009925553
Return On Investment (TTM),0.20870000000000002,0.056799999999999996,Effectiveness,3.674295774647888
Revenue Per Employee (TTM),1020262.0,172089.0,Effectiveness,5.928688062572274
Total Debt/Total Capital (MRQ),1.1440000000000001,0.3423,Financial strength,3.34209757522641
Change in Debt/Total Capital Quarter over Quarter,0.0,0.001,Financial strength,0.0
Quick Ratio (MRQ),,0.87,Financial strength,
Interest Coverage (MRQ),-6.35,2.63,Financial strength,-2.414448669201521
