,HRB
% Above Low,0.43670000000000003
% Held by Institutions,1.0397
52-Wk Range,['11.29 - 29.62']
Annual Dividend $,1.04
Annual Dividend %,0.0667
Ask,16.29
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,0.8
Bid,15.5
Bid Size,1000.0
Closing Price,16.22
Day Change $,0.62
Day Change %,0.0397
Day High,16.33
Day Low,15.78
Dividend Pay Date,2020-04-01 00:00:00
"EPS (TTM, GAAP)",1.94
Ex-dividend,2020-03-16 00:00:00
Ex-dividend Date,03/16/20
Historical Volatility,0.512
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,3.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.05
Prev Close,15.6
Short Interest,0.1359
Today's Open,15.84
Volume,2374612.0
Volume 10-day Avg,3479903.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-06-09 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-2.629268292682927
Growth 2yr High Est,2.522727272727273
Growth 2yr Consensus Est,-0.05327050997782701
Growth 5yr Low Est,-2.629268292682927
Growth 5yr High Est,2.522727272727273
Growth 5yr Consensus Est,-0.05327050997782701
Growth 5yr Actual/Est,2.069710640363275
Growth 3yr Historic,0.06047116833310506
Price/Earnings (TTM),8.05207
Price/Sales (TTM),0.94935
Price/Book (MRQ),
Price/Cash Flow (TTM),5.05869
5yr Low,11.29
5yr High,37.53
5yr Avg Return,-0.08365
EPS Growth 5yr,0.0350006
Revenue Growth 5yr,0.004625000000000001
Dividend Growth 5yr,0.045639599999999995
Short Int Current Month,26034622.0
Short Int Prev Month,27006408.0
Short Int Pct of Float,0.1359442
Days to Cover,9.34872
Float,188.7764
Shares Outstanding,192.4753
Institutions Holding Shares,644.0
FCF Growth 5yr,0.04543476803556092
"Price/Earnings (TTM, GAAP)",8.05
"PEG Ratio (TTM, GAAP)",0.81
Gross Profit Margin (TTM),0.4282
Operating Profit Margin (TTM),0.1773
Net Profit Margin (TTM),0.1352
Annual Dividend Yield,0.0667
Dividend Change %,0.0417
"Dividend Growth Rate, 3 Years",0.0772
EPS Growth (MRQ),0.2878
EPS Growth (TTM),-0.39420000000000005
Revenue Growth (MRQ),2.2289
Revenue Growth (TTM),0.0024
Return On Equity (TTM),
Return On Assets (TTM),0.142
Return On Investment (TTM),0.20870000000000002
Revenue Per Employee (TTM),1020262.0
Total Debt/Total Capital (MRQ),1.1440000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),
Interest Coverage (MRQ),-6.35
newConstructs,2
researchTeam,reduce
theStreet,hold
ford,4
cfra,
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-28 00:00:00
theStreet since,2019-08-29 00:00:00
ford since,2020-04-24 00:00:00
cfra since,
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
