,WDC
% Above Low,0.6131000000000001
% Held by Institutions,0.8283
52-Wk Range,['27.40 - 72.00']
Annual Dividend $,
Annual Dividend %,
Ask,44.33
Ask Size,4500.0
B/A Ratio,0.022222222222222223
B/A Size,100x4500
Beta,1.7
Bid,44.31
Bid Size,100.0
Closing Price,44.2
Day Change $,2.35
Day Change %,0.0562
Day High,44.3
Day Low,42.62
Dividend Pay Date,04/17/20
"EPS (TTM, GAAP)",-1.97
Ex-dividend Date,04/02/20
Historical Volatility,0.675
Last (size),100.0
Last (time),4:00p ET 05/08/20
Market Cap,13.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,41.85
Short Interest,0.0292
Today's Open,42.65
Volume,4858854.0
Volume 10-day Avg,7874205.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-0.38655462184873945
Growth 1yr High Est,-0.3889980353634578
Growth 1yr Consensus Est,-0.3877763286060986
Growth 2yr Low Est,0.06014734660987697
Growth 2yr High Est,0.5337968022539623
Growth 2yr Consensus Est,0.29697207443191964
Growth 5yr Low Est,0.026626863460380956
Growth 5yr High Est,0.2554999235281533
Growth 5yr Consensus Est,0.14106339349426716
Growth 5yr Actual/Est,0.15126152635137446
Growth 3yr Historic,-0.017147427728861964
Price/Earnings (TTM),
Price/Sales (TTM),0.82154
Price/Book (MRQ),1.4346
Price/Cash Flow (TTM),12.92835
5yr Low,27.4
5yr High,106.96
5yr Avg Return,-0.029500000000000005
EPS Growth 5yr,
Revenue Growth 5yr,0.0183369
Dividend Growth 5yr,
Short Int Current Month,8717593.0
Short Int Prev Month,7774668.0
Short Int Pct of Float,0.0292477
Days to Cover,1.67475
Float,296.7835
Shares Outstanding,298.9315
Institutions Holding Shares,933.0
FCF Growth 5yr,0.05594567943109652
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.20940000000000003
Operating Profit Margin (TTM),-0.0191
Net Profit Margin (TTM),-0.0362
Annual Dividend Yield,
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),1.1203
EPS Growth (TTM),-5.6771
Revenue Growth (MRQ),-0.0139
Revenue Growth (TTM),-0.1091
Return On Equity (TTM),-0.0599
Return On Assets (TTM),-0.0222
Return On Investment (TTM),-0.0267
Revenue Per Employee (TTM),260243.0
Total Debt/Total Capital (MRQ),0.5102
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),1.22
Interest Coverage (MRQ),2.46
newConstructs,4
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,1
theStreet,hold
cfra,3
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2018-10-15 00:00:00
cfra since,2019-05-28 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,
