,CI
% Below High,0.1575
% Held by Institutions,0.9056000000000001
52-Wk Range,['118.50 - 224.64']
Annual Dividend $,0.04
Annual Dividend %,0.0002
Ask,200.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,184.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,189.27
Day Change $,5.09
Day Change %,0.0276
Day High,189.43
Day Low,186.1
Dividend Pay Date,2020-04-09 00:00:00
"EPS (TTM, GAAP)",13.02
Ex-dividend,2020-03-09 00:00:00
Ex-dividend Date,03/09/20
Historical Volatility,0.499
Last (size),5.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,69.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.15
Prev Close,184.18
Short Interest,0.011899999999999999
Today's Open,187.12
Volume,1300593.0
Volume 10-day Avg,1568372.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,0.03855278766310799
Growth 1yr High Est,0.10823529411764699
Growth 1yr Consensus Est,0.07339404089037749
Growth 2yr Low Est,0.07410220765222786
Growth 2yr High Est,0.12444673410765572
Growth 2yr Consensus Est,0.09927447087994179
Growth 5yr Low Est,0.18846930594783368
Growth 5yr High Est,0.19741032572099665
Growth 5yr Consensus Est,0.19293981583441516
Growth 5yr Actual/Est,0.18697381799200852
Growth 3yr Historic,0.13962002457960537
Price/Earnings (TTM),14.14844
Price/Sales (TTM),0.44447
Price/Book (MRQ),1.53209
Price/Cash Flow (TTM),8.17306
5yr Low,115.03
5yr High,227.13
5yr Avg Return,0.08631666666666665
EPS Growth 5yr,0.1141992
Revenue Growth 5yr,0.344837
Dividend Growth 5yr,0.0
Short Int Current Month,4377763.0
Short Int Prev Month,4461550.0
Short Int Pct of Float,0.0119373
Days to Cover,2.01783
Float,363.7066
Shares Outstanding,372.0431
Institutions Holding Shares,1489.0
FCF Growth 5yr,0.3967899249618574
"Price/Earnings (TTM, GAAP)",14.15
"PEG Ratio (TTM, GAAP)",1.13
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.0506
Net Profit Margin (TTM),0.032
Annual Dividend Yield,0.0002
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.2132
EPS Growth (TTM),0.23809999999999998
Revenue Growth (MRQ),0.0011
Revenue Growth (TTM),1.0516
Return On Equity (TTM),0.1124
Return On Assets (TTM),0.0319
Return On Investment (TTM),
Revenue Per Employee (TTM),2091832.0
Total Debt/Total Capital (MRQ),0.4471
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.05
newConstructs,3
researchTeam,reduce
cfra,4
theStreet,buy
ford,2
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
cfra since,2020-02-08 00:00:00
theStreet since,2010-08-10 00:00:00
ford since,2020-03-20 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2020-02-06 00:00:00
