,MDLZ
% Below High,0.15109999999999998
% Held by Institutions,0.7737
52-Wk Range,['41.19 - 59.96']
Annual Dividend $,1.14
Annual Dividend %,0.0227
Ask,51.4
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.6
Bid,49.83
Bid Size,200.0
Closing Price,50.9
Day Change $,0.74
Day Change %,0.0148
Day High,51.1
Day Low,50.47
Dividend Pay Date,2020-04-14 00:00:00
"EPS (TTM, GAAP)",2.56
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.33
Last (size),7500.0
Last (time),4:15p ET 05/08/20
Market Cap,72.7B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",19.62
Prev Close,50.16
Short Interest,0.008199999999999999
Today's Open,50.97
Volume,5846499.0
Volume 10-day Avg,7590824.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,0.00411522633744843
Growth 1yr High Est,0.04743083003952564
Growth 1yr Consensus Est,0.025773028188487035
Growth 2yr Low Est,0.047139580381838964
Growth 2yr High Est,0.06711164143485715
Growth 2yr Consensus Est,0.05712561090834806
Growth 5yr Low Est,0.06328169514591103
Growth 5yr High Est,0.07407978010448785
Growth 5yr Consensus Est,0.06868073762519944
Growth 5yr Actual/Est,0.0656987401395035
Growth 3yr Historic,0.037993731010345755
Price/Earnings (TTM),19.62196
Price/Sales (TTM),2.74999
Price/Book (MRQ),2.78866
Price/Cash Flow (TTM),16.80394
5yr Low,35.88
5yr High,59.96
5yr Avg Return,0.056799999999999996
EPS Growth 5yr,0.1573396
Revenue Growth 5yr,-0.0545563
Dividend Growth 5yr,0.1384405
Short Int Current Month,11732541.0
Short Int Prev Month,11385593.0
Short Int Pct of Float,0.0082187
Days to Cover,1.70711
Float,1425.469
Shares Outstanding,1427.464
Institutions Holding Shares,1994.0
FCF Growth 5yr,0.11593936965233702
"Price/Earnings (TTM, GAAP)",19.62
"PEG Ratio (TTM, GAAP)",3.33
Gross Profit Margin (TTM),0.39159999999999995
Operating Profit Margin (TTM),0.14070000000000002
Net Profit Margin (TTM),0.1235
Annual Dividend Yield,0.0227
Dividend Change %,-0.0763
"Dividend Growth Rate, 3 Years",0.1591
EPS Growth (MRQ),0.0401
EPS Growth (TTM),0.18420000000000003
Revenue Growth (MRQ),-0.0298
Revenue Growth (TTM),0.012700000000000001
Return On Equity (TTM),0.1442
Return On Assets (TTM),0.050300000000000004
Return On Investment (TTM),0.0693
Revenue Per Employee (TTM),325463.0
Total Debt/Total Capital (MRQ),0.43450000000000005
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),0.39
Interest Coverage (MRQ),3.24
newConstructs,3
researchTeam,reduce
marketEdge opinion,neutralfromlong
marketEdge,-3
creditSuisse,outperform
theStreet,buy
cfra,2
ford,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-30 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
creditSuisse since,2014-05-08 00:00:00
theStreet since,2017-12-22 00:00:00
cfra since,2020-04-30 00:00:00
ford since,2020-05-01 00:00:00
