,CHTR
% Below High,0.0572
% Held by Institutions,0.6469
52-Wk Range,['345.67 - 546.54']
Annual Dividend $,
Annual Dividend %,
Ask,549.0
Ask Size,300.0
Ask close,515.53
B/A Ratio,4.333333333333333
B/A Size,1300x300
Beta,1.0
Bid,515.34
Bid Size,1300.0
Bid close,515.34
Change Since Close,0.00| |(0.00%)
Closing Price,515.28
Day Change $,1.03
Day Change %,0.002
Day High,521.46
Day Low,513.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",8.25
Ex-dividend Date,No dividend
Historical Volatility,0.324
Last (size),3000.0
Last (time),4:15p ET 05/08/20
Last Trade,515.28
Market Cap,106.4B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",62.34
Prev Close,514.25
Short Interest,0.0527
Today's Open,521.46
Volume,607700.0
Volume 10-day Avg,1106766.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-24 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.1287553648068669
Growth 2yr High Est,0.7050037341299475
Growth 2yr Consensus Est,0.4168795494684072
Growth 5yr Low Est,0.1287553648068669
Growth 5yr High Est,0.7050037341299475
Growth 5yr Consensus Est,0.4168795494684072
Growth 5yr Actual/Est,0.6117921166334762
Growth 3yr Historic,0.33134622082897947
Price/Earnings (TTM),62.33847
Price/Sales (TTM),2.2933
Price/Book (MRQ),3.58346
Price/Cash Flow (TTM),8.83652
5yr Low,156.13
5yr High,546.54
5yr Avg Return,0.23256666666666664
EPS Growth 5yr,
Revenue Growth 5yr,0.3810843
Dividend Growth 5yr,
Short Int Current Month,8996384.0
Short Int Prev Month,8961823.0
Short Int Pct of Float,0.0527023
Days to Cover,7.49256
Float,170.8581
Shares Outstanding,206.4575
Institutions Holding Shares,1210.0
FCF Growth 5yr,0.993749567352199
"Price/Earnings (TTM, GAAP)",62.34
"PEG Ratio (TTM, GAAP)",1.32
Gross Profit Margin (TTM),0.5175
Operating Profit Margin (TTM),0.1477
Net Profit Margin (TTM),0.0463
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.4289
EPS Growth (TTM),0.45740000000000003
Revenue Growth (MRQ),-0.002
Revenue Growth (TTM),0.0478
Return On Equity (TTM),0.055400000000000005
Return On Assets (TTM),0.0146
Return On Investment (TTM),0.0169
Revenue Per Employee (TTM),486814.0
Total Debt/Total Capital (MRQ),0.6846
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.39
newConstructs,4
researchTeam,hold
cfra,5
theStreet,buy
ford,3
creditSuisse,outperform
marketEdge opinion,neutralfromlong
marketEdge,-2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-17 00:00:00
cfra since,2020-03-27 00:00:00
theStreet since,2018-02-05 00:00:00
ford since,2020-03-06 00:00:00
creditSuisse since,2020-01-31 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
