,SHW
% Below High,0.08380000000000001
% Held by Institutions,0.7938
52-Wk Range,['325.43 - 599.95']
Annual Dividend $,5.36
Annual Dividend %,0.0101
Ask,695.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,549.68
Bid Size,200.0
Closing Price,549.68
Day Change $,21.12
Day Change %,0.04
Day High,553.58
Day Low,534.7
Dividend Pay Date,2020-06-05 00:00:00
"EPS (TTM, GAAP)",17.32
Ex-dividend,2020-05-21 00:00:00
Ex-dividend Date,05/21/20
Historical Volatility,0.423
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,49.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.73
Prev Close,528.56
Short Interest,0.015600000000000001
Today's Open,539.06
Volume,492399.0
Volume 10-day Avg,483066.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,-0.10656517602283533
Growth 1yr High Est,0.09715086408220452
Growth 1yr Consensus Est,-0.004707155970315402
Growth 2yr Low Est,-0.006157987372440055
Growth 2yr High Est,0.12073379730291578
Growth 2yr Consensus Est,0.05728790496523786
Growth 5yr Low Est,0.13930502225400745
Growth 5yr High Est,0.15410357023938442
Growth 5yr Consensus Est,0.14670429624669595
Growth 5yr Actual/Est,0.12110704567303415
Growth 3yr Historic,0.09234214070620611
Price/Earnings (TTM),31.7317
Price/Sales (TTM),2.77181
Price/Book (MRQ),15.17465
Price/Cash Flow (TTM),22.75116
5yr Low,218.27
5yr High,599.95
5yr Avg Return,0.14331666666666665
EPS Growth 5yr,0.1346746
Revenue Growth 5yr,0.0997123
Dividend Growth 5yr,0.1548967
Short Int Current Month,1296912.0
Short Int Prev Month,1070475.0
Short Int Pct of Float,0.0156311
Days to Cover,1.67924
Float,81.9948
Shares Outstanding,90.8
Institutions Holding Shares,1359.0
FCF Growth 5yr,0.12606439800588326
"Price/Earnings (TTM, GAAP)",31.73
"PEG Ratio (TTM, GAAP)",4.04
Gross Profit Margin (TTM),0.4549
Operating Profit Margin (TTM),0.11410000000000001
Net Profit Margin (TTM),0.0898
Annual Dividend Yield,0.0098
Dividend Change %,0.314
"Dividend Growth Rate, 3 Years",0.1039
EPS Growth (MRQ),0.2995
EPS Growth (TTM),0.49700000000000005
Revenue Growth (MRQ),0.0078000000000000005
Revenue Growth (TTM),0.0225
Return On Equity (TTM),0.4794
Return On Assets (TTM),0.0779
Return On Investment (TTM),0.1033
Revenue Per Employee (TTM),294655.0
Total Debt/Total Capital (MRQ),0.7481
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),0.57
Interest Coverage (MRQ),5.29
newConstructs,3
researchTeam,hold
marketEdge opinion,long
marketEdge,0
theStreet,buy
cfra,3
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2010-04-19 00:00:00
cfra since,2020-01-31 00:00:00
ford since,2020-01-17 00:00:00
creditSuisse since,2013-09-23 00:00:00
