,CPRT
% Below High,0.2011
% Held by Institutions,0.7903
52-Wk Range,['55.69 - 104.88']
Annual Dividend $,
Annual Dividend %,
Ask,84.41
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,78.4
Bid Size,100.0
Closing Price,83.79
Day Change $,2.24
Day Change %,0.0275
Day High,84.05
Day Low,82.18
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.08
Ex-dividend Date,No dividend
Historical Volatility,0.423
Last (size),62.0
Last (time),4:15p ET 05/08/20
Market Cap,19.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",26.51
Prev Close,81.55
Short Interest,0.0263
Today's Open,82.88
Volume,1673624.0
Volume 10-day Avg,2082000.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-05-20 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.041284403669724856
Growth 1yr High Est,0.23555555555555552
Growth 1yr Consensus Est,0.09713557594291533
Growth 2yr Low Est,0.04155875510293672
Growth 2yr High Est,0.17713029576338923
Growth 2yr Consensus Est,0.10934452543316298
Growth 5yr Low Est,0.19081450635708896
Growth 5yr High Est,0.24811782346697892
Growth 5yr Consensus Est,0.21946616491203394
Growth 5yr Actual/Est,0.2092633930748169
Growth 3yr Historic,0.1604158264999776
Price/Earnings (TTM),26.51282
Price/Sales (TTM),8.56472
Price/Book (MRQ),8.9673
Price/Cash Flow (TTM),23.12756
5yr Low,16.13
5yr High,104.88
5yr Avg Return,0.3439333333333333
EPS Growth 5yr,0.29350529999999997
Revenue Growth 5yr,0.11906900000000001
Dividend Growth 5yr,
Short Int Current Month,5333030.0
Short Int Prev Month,5035976.0
Short Int Pct of Float,0.0263165
Days to Cover,2.52648
Float,202.6557
Shares Outstanding,233.7055
Institutions Holding Shares,918.0
FCF Growth 5yr,0.15038339583646748
"Price/Earnings (TTM, GAAP)",26.51
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4534
Operating Profit Margin (TTM),0.3665
Net Profit Margin (TTM),0.3295
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2261
EPS Growth (TTM),0.552
Revenue Growth (MRQ),0.0374
Revenue Growth (TTM),0.18760000000000002
Return On Equity (TTM),0.409
Return On Assets (TTM),0.2743
Return On Investment (TTM),0.3166
Revenue Per Employee (TTM),303706.0
Total Debt/Total Capital (MRQ),0.1631
Change in Debt/Total Capital Quarter over Quarter,-0.0037
Quick Ratio (MRQ),2.08
Interest Coverage (MRQ),47.02
newConstructs,3
researchTeam,hold
theStreet,buy
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-04 00:00:00
theStreet since,2009-05-12 00:00:00
cfra since,2018-11-13 00:00:00
ford since,2020-02-21 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
