,PKG
% Below High,0.145
% Held by Institutions,0.9024
52-Wk Range,['71.05 - 114.78']
Annual Dividend $,3.16
Annual Dividend %,0.0337
Ask,109.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,83.42
Bid Size,100.0
Closing Price,98.14
Day Change $,4.35
Day Change %,0.0464
Day High,99.29
Day Low,95.44
Dividend Pay Date,2020-07-15 00:00:00
"EPS (TTM, GAAP)",6.86
Ex-dividend,2020-06-12 00:00:00
Ex-dividend Date,06/12/20
Historical Volatility,0.40399999999999997
Last (size),200.0
Last (time),6:30p ET 05/08/20
Market Cap,9.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.3
Prev Close,93.79
Short Interest,0.0184
Today's Open,95.63
Volume,590957.0
Volume 10-day Avg,835609.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.38219895287958117
Growth 1yr High Est,-0.26036269430051806
Growth 1yr Consensus Est,-0.3212808235900496
Growth 2yr Low Est,-0.2186418493211465
Growth 2yr High Est,-0.07238800214150248
Growth 2yr Consensus Est,-0.1455149257313245
Growth 5yr Low Est,-0.03580169946189812
Growth 5yr High Est,0.03686936474523153
Growth 5yr Consensus Est,0.0005338326416667039
Growth 5yr Actual/Est,-0.012868067406297923
Growth 3yr Historic,0.07164112567903588
Price/Earnings (TTM),14.29941
Price/Sales (TTM),1.34133
Price/Book (MRQ),2.95364
Price/Cash Flow (TTM),8.91473
5yr Low,44.32
5yr High,131.13
5yr Avg Return,0.10246666666666668
EPS Growth 5yr,0.1301263
Revenue Growth 5yr,0.0353942
Dividend Growth 5yr,0.1458121
Short Int Current Month,1711380.0
Short Int Prev Month,1793209.0
Short Int Pct of Float,0.0183785
Days to Cover,1.78232
Float,93.1857
Shares Outstanding,94.84278
Institutions Holding Shares,783.0
FCF Growth 5yr,0.13450670562453343
"Price/Earnings (TTM, GAAP)",14.3
"PEG Ratio (TTM, GAAP)",2.86
Gross Profit Margin (TTM),0.22890000000000002
Operating Profit Margin (TTM),0.1423
Net Profit Margin (TTM),0.09390000000000001
Annual Dividend Yield,0.0322
Dividend Change %,0.1127
"Dividend Growth Rate, 3 Years",0.1149
EPS Growth (MRQ),0.037000000000000005
EPS Growth (TTM),-0.17
Revenue Growth (MRQ),-0.006600000000000001
Revenue Growth (TTM),-0.0168
Return On Equity (TTM),0.21739999999999998
Return On Assets (TTM),0.09119999999999999
Return On Investment (TTM),0.1018
Revenue Per Employee (TTM),447697.0
Total Debt/Total Capital (MRQ),0.44200000000000006
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),2.42
Interest Coverage (MRQ),11.04
newConstructs,2
researchTeam,hold
marketEdge opinion,long
marketEdge,0
cfra,3
theStreet,hold
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-09 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-01-30 00:00:00
theStreet since,2020-04-03 00:00:00
ford since,2020-03-20 00:00:00
creditSuisse since,
