,BKR
% Above Low,0.6458
% Held by Institutions,0.9358
52-Wk Range,['9.12 - 25.99']
Annual Dividend $,0.72
Annual Dividend %,0.051399999999999994
Ask,15.29
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.7
Bid,15.01
Bid Size,1000.0
Change Since Close,0.00| |(0.00%)
Closing Price,15.01
Day Change $,0.99
Day Change %,0.0706
Day High,15.02
Day Low,14.14
Dividend Pay Date,2020-02-14 00:00:00
"EPS (TTM, GAAP)",-15.47
Ex-dividend,2020-01-31 00:00:00
Ex-dividend Date,01/31/20
Historical Volatility,0.622
Last (size),10.0
Last (time),6:30p ET 05/08/20
Last Trade,15.01
Market Cap,15.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,14.02
Short Interest,0.0219
Today's Open,14.37
Volume,7746657.0
Volume 10-day Avg,6060888.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-1.7894736842105263
Growth 1yr High Est,-0.5757575757575757
Growth 1yr Consensus Est,-1.182615629984051
Growth 2yr Low Est,-1.26140350877193
Growth 2yr High Est,0.045454545454545414
Growth 2yr Consensus Est,-0.6079744816586923
Growth 5yr Low Est,-0.17233247052056377
Growth 5yr High Est,0.09147727272727268
Growth 5yr Consensus Est,-0.040427598896645545
Growth 5yr Actual/Est,0.21699114304812833
Growth 3yr Historic,0.19566761363636365
Price/Earnings (TTM),
Price/Sales (TTM),0.61208
Price/Book (MRQ),0.80924
Price/Cash Flow (TTM),
5yr Low,9.12
5yr High,68.59
5yr Avg Return,-0.15743333333333331
EPS Growth 5yr,-0.4328373
Revenue Growth 5yr,-0.005877
Dividend Growth 5yr,0.0238363
Short Int Current Month,14272088.0
Short Int Prev Month,15112131.0
Short Int Pct of Float,0.0218759
Days to Cover,2.13797
Float,653.7241
Shares Outstanding,1032.463
Institutions Holding Shares,729.0
FCF Growth 5yr,0.18901998436665196
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1789
Operating Profit Margin (TTM),-0.6411
Net Profit Margin (TTM),-0.6722
Annual Dividend Yield,0.0514
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0192
EPS Growth (MRQ),-213.6994
EPS Growth (TTM),-157.08370000000002
Revenue Growth (MRQ),-0.1454
Revenue Growth (TTM),0.024100000000000003
Return On Equity (TTM),-0.3829
Return On Assets (TTM),-0.3519
Return On Investment (TTM),-0.4483
Revenue Per Employee (TTM),347779.0
Total Debt/Total Capital (MRQ),0.26530000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0029
Quick Ratio (MRQ),1.0
Interest Coverage (MRQ),
newConstructs,4
researchTeam,reduce
theStreet,sell
cfra,3
ford,4
creditSuisse,outperform
marketEdge,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-10-22 00:00:00
theStreet since,2019-10-22 00:00:00
cfra since,2020-01-23 00:00:00
ford since,2020-04-09 00:00:00
creditSuisse since,2018-12-19 00:00:00
marketEdge since,
