,AWK
% Below High,0.16699999999999998
% Held by Institutions,0.8523000000000001
52-Wk Range,['92.00 - 141.70']
Annual Dividend $,2.2
Annual Dividend %,0.018500000000000003
Ask,118.8
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,0.2
Bid,118.0
Bid Size,100.0
Change Since Close,0.47| |(0.40%)
Closing Price,118.03
Day Change $,-1.05
Day Change %,-0.0088
Day High,120.31
Day Low,117.52
Dividend Pay Date,2020-06-02 00:00:00
"EPS (TTM, GAAP)",3.49
Ex-dividend,2020-05-11 00:00:00
Ex-dividend Date,05/11/20
Historical Volatility,0.41100000000000003
Last (size),50.0
Last (time),6:30p ET 05/08/20
Last Trade,118.5
Market Cap,21.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",34.1
Prev Close,119.08
Short Interest,0.0124
Today's Open,119.17
Volume,1068669.0
Volume 10-day Avg,1015178.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.058495821727019504
Growth 1yr High Est,0.07027027027027022
Growth 1yr Consensus Est,0.06438304599864486
Growth 2yr Low Est,0.07266896349508867
Growth 2yr High Est,0.0856401856401856
Growth 2yr Consensus Est,0.07915457456763714
Growth 5yr Low Est,0.08421444637126468
Growth 5yr High Est,0.08731481378540201
Growth 5yr Consensus Est,0.08576463007833335
Growth 5yr Actual/Est,0.08527247505382018
Growth 3yr Historic,0.043976651763537045
Price/Earnings (TTM),34.10354
Price/Sales (TTM),5.92041
Price/Book (MRQ),3.45283
Price/Cash Flow (TTM),17.74174
5yr Low,48.36
5yr High,141.7
5yr Avg Return,0.15308333333333332
EPS Growth 5yr,0.0749659
Revenue Growth 5yr,0.0369309
Dividend Growth 5yr,0.09533010000000001
Short Int Current Month,2231986.0
Short Int Prev Month,2627718.0
Short Int Pct of Float,0.012388099999999999
Days to Cover,2.2837
Float,180.2202
Shares Outstanding,181.0229
Institutions Holding Shares,1146.0
FCF Growth 5yr,-3.5636092503987244
"Price/Earnings (TTM, GAAP)",34.1
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.32049999999999995
Net Profit Margin (TTM),0.1736
Annual Dividend Yield,0.018500000000000003
Dividend Change %,0.0983
"Dividend Growth Rate, 3 Years",0.10099999999999999
EPS Growth (MRQ),0.26530000000000004
EPS Growth (TTM),0.0739
Revenue Growth (MRQ),-0.0643
Revenue Growth (TTM),0.042699999999999995
Return On Equity (TTM),0.1038
Return On Assets (TTM),0.0281
Return On Investment (TTM),0.0315
Revenue Per Employee (TTM),535441.0
Total Debt/Total Capital (MRQ),0.623
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),0.63
Interest Coverage (MRQ),2.49
newConstructs,4
researchTeam,reduce
theStreet,buy
cfra,2
ford,3
marketEdge opinion,avoid
marketEdge,0
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-08-02 00:00:00
theStreet since,2010-11-02 00:00:00
cfra since,2019-08-02 00:00:00
ford since,2019-12-06 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
