,WEC
% Above Low,0.25980000000000003
% Held by Institutions,0.7406
52-Wk Range,['68.01 - 109.53']
Annual Dividend $,2.53
Annual Dividend %,0.0297
Ask,94.94
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,0.2
Bid,85.69
Bid Size,1000.0
Closing Price,85.68
Day Change $,0.55
Day Change %,0.006500000000000001
Day High,86.49
Day Low,84.82
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",3.68
Ex-dividend,2020-05-13 00:00:00
Ex-dividend Date,05/13/20
Historical Volatility,0.42
Last (size),3.0
Last (time),6:30p ET 05/08/20
Market Cap,27.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",23.27
Prev Close,85.13
Short Interest,0.0154
Today's Open,86.22
Volume,1282488.0
Volume 10-day Avg,1610091.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.042735042735042805
Growth 1yr High Est,0.06515580736543902
Growth 1yr Consensus Est,0.053945425050240914
Growth 2yr Low Est,0.05825276726916073
Growth 2yr High Est,0.07114173346995356
Growth 2yr Consensus Est,0.06469725036955715
Growth 5yr Low Est,0.06464331768092618
Growth 5yr High Est,0.06488634292545298
Growth 5yr Consensus Est,0.06476483030318958
Growth 5yr Actual/Est,0.06178877252890891
Growth 3yr Historic,0.033887638735268344
Price/Earnings (TTM),23.26522
Price/Sales (TTM),3.72557
Price/Book (MRQ),2.61274
Price/Cash Flow (TTM),12.81116
5yr Low,44.93
5yr High,109.53
5yr Avg Return,0.10961666666666665
EPS Growth 5yr,0.06725880000000001
Revenue Growth 5yr,0.0852649
Dividend Growth 5yr,0.0863193
Short Int Current Month,4856321.0
Short Int Prev Month,5294302.0
Short Int Pct of Float,0.0154229
Days to Cover,2.88968
Float,314.8843
Shares Outstanding,315.4345
Institutions Holding Shares,1127.0
FCF Growth 5yr,4.698279857397504
"Price/Earnings (TTM, GAAP)",23.27
"PEG Ratio (TTM, GAAP)",3.95
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2227
Net Profit Margin (TTM),0.16090000000000002
Annual Dividend Yield,0.029500000000000002
Dividend Change %,0.0679
"Dividend Growth Rate, 3 Years",0.060300000000000006
EPS Growth (MRQ),0.8553000000000001
EPS Growth (TTM),0.07110000000000001
Revenue Growth (MRQ),0.0827
Revenue Growth (TTM),-0.0664
Return On Equity (TTM),0.11480000000000001
Return On Assets (TTM),0.034
Return On Investment (TTM),0.0373
Revenue Per Employee (TTM),966081.0
Total Debt/Total Capital (MRQ),0.5481
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.51
Interest Coverage (MRQ),5.15
newConstructs,4
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,0
cfra,1
theStreet,buy
creditSuisse,underperform
ford,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-02-12 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-01-31 00:00:00
theStreet since,2010-08-15 00:00:00
creditSuisse since,2019-08-06 00:00:00
ford since,2020-04-17 00:00:00
