,HBAN
% Above Low,0.2683
% Held by Institutions,0.7445
52-Wk Range,['6.82 - 15.63']
Annual Dividend $,0.6
Annual Dividend %,0.0727
Ask,8.74
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,1.6
Bid,8.61
Bid Size,500.0
Closing Price,8.65
Day Change $,0.4
Day Change %,0.048499999999999995
Day High,8.7
Day Low,8.43
Dividend Pay Date,2020-07-01 00:00:00
"EPS (TTM, GAAP)",0.98
Ex-dividend,2020-06-16 00:00:00
Ex-dividend Date,06/16/20
Historical Volatility,0.509
Last (size),500.0
Last (time),4:00p ET 05/08/20
Market Cap,8.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.45
Prev Close,8.25
Short Interest,0.029500000000000002
Today's Open,8.51
Volume,6504707.0
Volume 10-day Avg,11671649.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-1.6400000000000001
Growth 1yr High Est,-0.4925373134328358
Growth 1yr Consensus Est,-1.066268656716418
Growth 2yr Low Est,-1.5325000000000002
Growth 2yr High Est,0.2096136962247585
Growth 2yr Consensus Est,-0.6614431518876208
Growth 5yr Low Est,-0.6408400799344128
Growth 5yr High Est,0.21307116833322118
Growth 5yr Consensus Est,-0.2138844558005958
Growth 5yr Actual/Est,0.2681772283056234
Growth 3yr Historic,0.10166198501872659
Price/Earnings (TTM),8.44724
Price/Sales (TTM),1.78903
Price/Book (MRQ),0.79191
Price/Cash Flow (TTM),5.96812
5yr Low,6.82
5yr High,16.6
5yr Avg Return,-0.0036166666666666574
EPS Growth 5yr,0.1192228
Revenue Growth 5yr,0.1627674
Dividend Growth 5yr,0.29199400000000003
Short Int Current Month,29793620.0
Short Int Prev Month,27917927.0
Short Int Pct of Float,0.029458099999999997
Days to Cover,2.27691
Float,1012.658
Shares Outstanding,1014.218
Institutions Holding Shares,938.0
FCF Growth 5yr,0.11963568019582489
"Price/Earnings (TTM, GAAP)",8.45
"PEG Ratio (TTM, GAAP)",1.72
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2771
Net Profit Margin (TTM),0.2354
Annual Dividend Yield,0.0727
Dividend Change %,0.5319
"Dividend Growth Rate, 3 Years",0.37
EPS Growth (MRQ),-0.8981
EPS Growth (TTM),-0.2076
Revenue Growth (MRQ),-0.0356
Revenue Growth (TTM),0.0002
Return On Equity (TTM),0.0989
Return On Assets (TTM),0.0099
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,2
researchTeam,hold
cfra,3
theStreet,hold
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-27 00:00:00
cfra since,2019-04-25 00:00:00
theStreet since,2020-03-13 00:00:00
ford since,2020-01-17 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
