,GE
% Above Low,0.0661
% Held by Institutions,0.6192
52-Wk Range,['5.90 - 13.26']
Annual Dividend $,0.04
Annual Dividend %,0.006500000000000001
Ask,6.28
Ask Size,23600.0
B/A Ratio,0.05508474576271186
B/A Size,1300x23600
Beta,1.0
Bid,6.27
Bid Size,1300.0
Closing Price,6.29
Day Change $,0.18
Day Change %,0.029500000000000002
Day High,6.33
Day Low,6.16
Dividend Pay Date,2020-04-27 00:00:00
"EPS (TTM, GAAP)",0.61
Ex-dividend,2020-03-06 00:00:00
Ex-dividend Date,03/06/20
Historical Volatility,0.5660000000000001
Last (size),200.0
Last (time),6:30p ET 05/08/20
Market Cap,55.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",9.96
Prev Close,6.11
Short Interest,0.0126
Today's Open,6.21
Volume,93934568.0
Volume 10-day Avg,135447247.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-1.0792079207920793
Growth 1yr High Est,-0.6956521739130435
Growth 1yr Consensus Est,-0.8874300473525614
Growth 2yr Low Est,-2.6021039603960396
Growth 2yr High Est,0.009316770186335477
Growth 2yr Consensus Est,-1.2963935951048522
Growth 5yr Low Est,-1.3010519801980198
Growth 5yr High Est,0.004658385093167738
Growth 5yr Consensus Est,-0.6481967975524261
Growth 5yr Actual/Est,0.2842490842490843
Growth 3yr Historic,-0.09523809523809523
Price/Earnings (TTM),9.96477
Price/Sales (TTM),0.57138
Price/Book (MRQ),1.51496
Price/Cash Flow (TTM),4.92351
5yr Low,5.9
5yr High,33.0
5yr Avg Return,-0.1308
EPS Growth 5yr,
Revenue Growth 5yr,-0.0393924
Dividend Growth 5yr,-0.461091
Short Int Current Month,109712783.0
Short Int Prev Month,96926399.0
Short Int Pct of Float,0.0125678
Days to Cover,1.20411
Float,8735.466
Shares Outstanding,8747.092
Institutions Holding Shares,2200.0
FCF Growth 5yr,-0.436564587742929
"Price/Earnings (TTM, GAAP)",9.96
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.23399999999999999
Operating Profit Margin (TTM),0.0275
Net Profit Margin (TTM),0.0626
Annual Dividend Yield,0.006500000000000001
Dividend Change %,-0.9167000000000001
"Dividend Growth Rate, 3 Years",-0.6484000000000001
EPS Growth (MRQ),8.5239
EPS Growth (TTM),1.258
Revenue Growth (MRQ),-0.21780000000000002
Revenue Growth (TTM),0.023100000000000002
Return On Equity (TTM),0.1524
Return On Assets (TTM),0.0203
Return On Investment (TTM),0.026600000000000002
Revenue Per Employee (TTM),456273.0
Total Debt/Total Capital (MRQ),0.6979000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),-14.13
newConstructs,4
researchTeam,reduce
theStreet,sell
cfra,3
ford,3
marketEdge opinion,avoid
marketEdge,0
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-09 00:00:00
theStreet since,2020-03-19 00:00:00
cfra since,2020-04-10 00:00:00
ford since,2019-10-11 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-10-11 00:00:00
