,WBA
% Above Low,0.0575
% Held by Institutions,0.5811
52-Wk Range,['39.41 - 64.50']
Annual Dividend $,1.83
Annual Dividend %,0.045
Ask,41.8
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,0.6
Bid,41.67
Bid Size,500.0
Closing Price,41.67
Day Change $,1.01
Day Change %,0.0248
Day High,41.8
Day Low,40.88
Dividend Pay Date,2020-06-12 00:00:00
"EPS (TTM, GAAP)",3.89
Ex-dividend,2020-05-19 00:00:00
Ex-dividend Date,05/19/20
Historical Volatility,0.41100000000000003
Last (size),5.0
Last (time),4:00p ET 05/08/20
Market Cap,36.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.71
Prev Close,40.66
Short Interest,0.0181
Today's Open,41.24
Volume,5966560.0
Volume 10-day Avg,6413314.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-06-25 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-0.22673434856175967
Growth 1yr High Est,-0.01830282861896826
Growth 1yr Consensus Est,-0.12251858859036396
Growth 2yr Low Est,-0.01599299484980765
Growth 2yr High Est,0.03322146704644807
Growth 2yr Consensus Est,0.00861423609832021
Growth 5yr Low Est,0.04101022734007248
Growth 5yr High Est,0.0650570473104469
Growth 5yr Consensus Est,0.05303363732525969
Growth 5yr Actual/Est,0.043401440787519785
Growth 3yr Historic,0.04385219203960658
Price/Earnings (TTM),10.7079
Price/Sales (TTM),0.26354
Price/Book (MRQ),1.5467
Price/Cash Flow (TTM),6.59577
5yr Low,39.41
5yr High,97.3
5yr Avg Return,-0.10403333333333334
EPS Growth 5yr,0.1449701
Revenue Growth 5yr,0.12369780000000001
Dividend Growth 5yr,0.0691249
Short Int Current Month,12347293.0
Short Int Prev Month,11954821.0
Short Int Pct of Float,0.0181063
Days to Cover,1.67286
Float,682.0603
Shares Outstanding,877.2202
Institutions Holding Shares,1693.0
FCF Growth 5yr,0.02314036382920608
"Price/Earnings (TTM, GAAP)",10.71
"PEG Ratio (TTM, GAAP)",5.32
Gross Profit Margin (TTM),0.21239999999999998
Operating Profit Margin (TTM),0.031200000000000002
Net Profit Margin (TTM),0.0253
Annual Dividend Yield,0.043899999999999995
Dividend Change %,0.1
"Dividend Growth Rate, 3 Years",0.0692
EPS Growth (MRQ),0.1285
EPS Growth (TTM),-0.22219999999999998
Revenue Growth (MRQ),0.0431
Revenue Growth (TTM),0.0192
Return On Equity (TTM),0.1441
Return On Assets (TTM),0.0438
Return On Investment (TTM),0.0667
Revenue Per Employee (TTM),597862.0
Total Debt/Total Capital (MRQ),0.42090000000000005
Change in Debt/Total Capital Quarter over Quarter,-0.0023
Quick Ratio (MRQ),0.32
Interest Coverage (MRQ),10.95
newConstructs,2
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,neutral
theStreet,hold
cfra,3
ford,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
creditSuisse since,2019-06-28 00:00:00
theStreet since,2020-02-26 00:00:00
cfra since,2018-09-13 00:00:00
ford since,2020-04-17 00:00:00
