,WBA
Price/Earnings (TTM),10.7079
Price/Sales (TTM),0.26354
Price/Book (MRQ),1.5467
Price/Cash Flow (TTM),6.59577
5yr Low,39.41
5yr High,97.3
5yr Avg Return,-0.10403333333333334
EPS Growth 5yr,0.1449701
Revenue Growth 5yr,0.12369780000000001
Dividend Growth 5yr,0.0691249
Short Int Current Month,12347293.0
Short Int Prev Month,11954821.0
Short Int Pct of Float,0.0181063
Days to Cover,1.67286
Float,682.0603
Shares Outstanding,877.2202
Institutions Holding Shares,1693.0
% Held by Institutions,0.581109
FCF Growth 5yr,0.02314036382920608
