,Industry,NTAP,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",20.86,10.52,Valuation,0.5043144774688398
Price/Sales (TTM),4.58,1.77,Valuation,0.3864628820960699
Price/Book (MRQ),15.74,35.35,Valuation,2.2458703939008897
"PEG Ratio (TTM, GAAP)",1.57,1.77,Valuation,1.127388535031847
Gross Profit Margin (TTM),0.3764,0.6618,Profitability,1.7582359192348567
Operating Profit Margin (TTM),0.2293,0.18530000000000002,Profitability,0.8081116441343219
Net Profit Margin (TTM),0.2011,0.1819,Profitability,0.9045251118846346
Annual Dividend Yield,0.012,0.042800000000000005,Dividend,3.566666666666667
Dividend Change %,0.1037,0.7722,Dividend,7.446480231436837
"Dividend Growth Rate, 3 Years",0.10869999999999999,0.2569,Dividend,2.363385464581417
EPS Growth (MRQ),0.09570000000000001,0.1748,Gowth rates,1.8265412748171368
EPS Growth (TTM),0.133,0.08710000000000001,Gowth rates,0.6548872180451129
Revenue Growth (MRQ),0.0063,0.024100000000000003,Gowth rates,3.825396825396826
Revenue Growth (TTM),0.0363,-0.096,Gowth rates,-2.644628099173554
Return On Equity (TTM),0.59,1.3478999999999999,Effectiveness,2.284576271186441
Return On Assets (TTM),0.16390000000000002,0.1282,Effectiveness,0.7821842586943257
Return On Investment (TTM),0.23420000000000002,0.2279,Effectiveness,0.9730999146029033
Revenue Per Employee (TTM),1843881.0,533619.0,Effectiveness,0.28939991246723623
Total Debt/Total Capital (MRQ),0.605,0.867,Financial strength,1.4330578512396694
Change in Debt/Total Capital Quarter over Quarter,0.0004,0.0021,Financial strength,5.249999999999999
Quick Ratio (MRQ),1.42,1.16,Financial strength,0.8169014084507042
Interest Coverage (MRQ),0.46,,Financial strength,
