,NTAP
% Above Low,0.2954
% Held by Institutions,0.9995999999999999
52-Wk Range,['34.66 - 70.37']
Annual Dividend $,1.92
Annual Dividend %,0.0446
Ask,45.4
Ask Size,500.0
B/A Ratio,0.8
B/A Size,400x500
Beta,1.3
Bid,44.9
Bid Size,400.0
Closing Price,44.9
Day Change $,1.89
Day Change %,0.043899999999999995
Day High,44.98
Day Low,43.31
Dividend Pay Date,2020-04-22 00:00:00
"EPS (TTM, GAAP)",4.27
Ex-dividend,2020-04-02 00:00:00
Ex-dividend Date,04/02/20
Historical Volatility,0.521
Last (size),50.0
Last (time),3:59p ET 05/08/20
Market Cap,9.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.08
Prev Close,43.01
Short Interest,0.0381
Today's Open,43.31
Volume,1553086.0
Volume 10-day Avg,2170329.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-05-27 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,-0.2254464285714286
Growth 1yr High Est,-0.07391304347826089
Growth 1yr Consensus Est,-0.14967973602484475
Growth 2yr Low Est,-0.20638315664882673
Growth 2yr High Est,0.03816084915288842
Growth 2yr Consensus Est,-0.08411115374796915
Growth 5yr Low Est,0.04583854135347962
Growth 5yr High Est,0.16822151337270536
Growth 5yr Consensus Est,0.10703002736309249
Growth 5yr Actual/Est,0.11631221283965412
Growth 3yr Historic,0.14341398275115852
Price/Earnings (TTM),10.08115
Price/Sales (TTM),1.69781
Price/Book (MRQ),33.85894
Price/Cash Flow (TTM),7.84239
5yr Low,20.66
5yr High,88.08
5yr Avg Return,0.0884666666666667
EPS Growth 5yr,0.1975616
Revenue Growth 5yr,-0.0057284
Dividend Growth 5yr,0.25482479999999996
Short Int Current Month,8390786.0
Short Int Prev Month,7744818.0
Short Int Pct of Float,0.0380551
Days to Cover,4.86023
Float,213.4454
Shares Outstanding,221.177
Institutions Holding Shares,797.0
FCF Growth 5yr,0.05218452317852311
"Price/Earnings (TTM, GAAP)",10.52
"PEG Ratio (TTM, GAAP)",1.77
Gross Profit Margin (TTM),0.6618
Operating Profit Margin (TTM),0.18530000000000002
Net Profit Margin (TTM),0.1819
Annual Dividend Yield,0.042800000000000005
Dividend Change %,0.7722
"Dividend Growth Rate, 3 Years",0.2569
EPS Growth (MRQ),0.1748
EPS Growth (TTM),0.08710000000000001
Revenue Growth (MRQ),0.024100000000000003
Revenue Growth (TTM),-0.096
Return On Equity (TTM),1.3478999999999999
Return On Assets (TTM),0.1282
Return On Investment (TTM),0.2279
Revenue Per Employee (TTM),533619.0
Total Debt/Total Capital (MRQ),0.867
Change in Debt/Total Capital Quarter over Quarter,0.0021
Quick Ratio (MRQ),1.16
Interest Coverage (MRQ),
newConstructs,1
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,3
theStreet,hold
cfra,3
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-02-13 00:00:00
cfra since,2016-08-18 00:00:00
ford since,2020-02-14 00:00:00
creditSuisse since,2019-04-11 00:00:00
