,DOW
% Above Low,0.564
% Held by Institutions,0.6828
52-Wk Range,['21.95 - 56.25']
Annual Dividend $,2.8
Annual Dividend %,0.0852
Ask,34.55
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,
Bid,34.34
Bid Size,500.0
Closing Price,34.33
Day Change $,1.48
Day Change %,0.0451
Day High,34.37
Day Low,33.37
Dividend Pay Date,2020-06-12 00:00:00
"EPS (TTM, GAAP)",-2.24
Ex-dividend,2020-05-28 00:00:00
Ex-dividend Date,05/28/20
Historical Volatility,0.588
Last (size),12.0
Last (time),6:30p ET 05/08/20
Market Cap,25.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,32.85
Short Interest,0.0187
Today's Open,33.78
Volume,4324506.0
Volume 10-day Avg,6128051.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.7710843373493976
Growth 1yr High Est,-0.3194444444444444
Growth 1yr Consensus Est,-0.545264390896921
Growth 2yr Low Est,-0.06317374762206729
Growth 2yr High Est,0.1566043083900226
Growth 2yr Consensus Est,0.04671528038397765
Growth 5yr Low Est,-0.06317374762206729
Growth 5yr High Est,0.1566043083900226
Growth 5yr Consensus Est,0.04671528038397765
Growth 5yr Actual/Est,0.026223573143344003
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),0.5828
Price/Book (MRQ),1.8854
Price/Cash Flow (TTM),21.61013
5yr Low,21.95
5yr High,60.52
5yr Avg Return,-0.17045000000000002
Short Int Current Month,13858566.0
Short Int Prev Month,12823534.0
Short Int Pct of Float,0.0186735
Days to Cover,1.65561
Float,738.1764
Shares Outstanding,740.7308
Institutions Holding Shares,1477.0
FCF Growth 5yr,-1.2919718653545278
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1439
Operating Profit Margin (TTM),-0.0131
Net Profit Margin (TTM),-0.038700000000000005
Annual Dividend Yield,0.0852
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.1034000000000002
EPS Growth (TTM),-1.827
Revenue Growth (MRQ),-0.0425
Revenue Growth (TTM),-0.1362
Return On Equity (TTM),-0.08410000000000001
Return On Assets (TTM),-0.023
Return On Investment (TTM),-0.0288
Revenue Per Employee (TTM),1143890.0
Total Debt/Total Capital (MRQ),0.5747
Change in Debt/Total Capital Quarter over Quarter,0.002
Quick Ratio (MRQ),1.06
Interest Coverage (MRQ),3.21
newConstructs,3
cfra,
theStreet,sell
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,neutral
ford,
researchTeam,
newConstructs since,2020-05-08 00:00:00
cfra since,
theStreet since,2020-04-21 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2020-04-30 00:00:00
ford since,
researchTeam since,
