,DOW
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.7710843373493976
Growth 1yr High Est,-0.3194444444444444
Growth 1yr Consensus Est,-0.545264390896921
Growth 2yr Low Est,-0.06317374762206729
Growth 2yr High Est,0.1566043083900226
Growth 2yr Consensus Est,0.04671528038397765
Growth 5yr Low Est,-0.06317374762206729
Growth 5yr High Est,0.1566043083900226
Growth 5yr Consensus Est,0.04671528038397765
Growth 5yr Actual/Est,0.026223573143344003
Growth 3yr Historic,0.0
