,JKHY
% Below High,0.0155
% Held by Institutions,0.8976999999999999
52-Wk Range,['123.64 - 185.67']
Annual Dividend $,1.72
Annual Dividend %,0.009399999999999999
Ask,182.78
Ask Size,1300.0
B/A Ratio,2.4615384615384617
B/A Size,3200x1300
Beta,0.6
Bid,182.0
Bid Size,3200.0
Closing Price,182.79
Day Change $,-1.02
Day Change %,-0.0055000000000000005
Day High,185.67
Day Low,182.4
Dividend Pay Date,2020-03-19 00:00:00
"EPS (TTM, GAAP)",3.85
Ex-dividend,2020-02-28 00:00:00
Ex-dividend Date,02/28/20
Historical Volatility,0.34299999999999997
Last (size),3.0
Last (time),4:15p ET 05/08/20
Market Cap,14.0B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",47.77
Prev Close,183.81
Short Interest,0.030699999999999998
Today's Open,184.31
Volume,479323.0
Volume 10-day Avg,656520.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-08-18 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.08882521489971329
Growth 1yr High Est,0.09065155807365444
Growth 1yr Consensus Est,0.08973838648668386
Growth 2yr Low Est,0.0536231337656462
Growth 2yr High Est,0.11805305176409997
Growth 2yr Consensus Est,0.08583809276487309
Growth 5yr Low Est,0.055565560493046784
Growth 5yr High Est,0.08976888782218351
Growth 5yr Consensus Est,0.07266722415761515
Growth 5yr Actual/Est,0.07155443993351562
Growth 3yr Historic,0.03450425053957629
Price/Earnings (TTM),47.76891
Price/Sales (TTM),8.39375
Price/Book (MRQ),
Price/Cash Flow (TTM),29.92653
5yr Low,63.84
5yr High,185.55
5yr Avg Return,0.19515000000000005
EPS Growth 5yr,0.0996133
Revenue Growth 5yr,0.057656400000000003
Dividend Growth 5yr,0.1288813
Short Int Current Month,2338253.0
Short Int Prev Month,2027601.0
Short Int Pct of Float,0.0307263
Days to Cover,3.85766
Float,76.09859
Shares Outstanding,76.71959
Institutions Holding Shares,804.0
FCF Growth 5yr,0.03323705505301986
"Price/Earnings (TTM, GAAP)",47.77
"PEG Ratio (TTM, GAAP)",3.98
Gross Profit Margin (TTM),0.40850000000000003
Operating Profit Margin (TTM),0.2281
Net Profit Margin (TTM),0.1764
Annual Dividend Yield,0.0094
Dividend Change %,0.13240000000000002
"Dividend Growth Rate, 3 Years",0.1326
EPS Growth (MRQ),0.025
EPS Growth (TTM),0.0943
Revenue Growth (MRQ),0.0245
Revenue Growth (TTM),0.0928
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),262424.0
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,3
researchTeam,reduce
cfra,3
theStreet,buy
ford,3
marketEdge opinion,neutralfromlong
marketEdge,-3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-04 00:00:00
cfra since,2018-08-22 00:00:00
theStreet since,2009-05-28 00:00:00
ford since,2020-01-24 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
