,Industry,JKHY,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",38.57,47.77,Valuation,1.238527352864921
Price/Sales (TTM),10.33,8.39,Valuation,0.8121974830590514
Price/Book (MRQ),16.63,,Valuation,
"PEG Ratio (TTM, GAAP)",3.85,3.98,Valuation,1.0337662337662337
Gross Profit Margin (TTM),0.443,0.40850000000000003,Profitability,0.9221218961625283
Operating Profit Margin (TTM),0.3113,0.2281,Profitability,0.7327336973980083
Net Profit Margin (TTM),0.2429,0.1764,Profitability,0.7262247838616714
Annual Dividend Yield,0.010400000000000001,0.0094,Dividend,0.9038461538461537
Dividend Change %,0.27890000000000004,0.13240000000000002,Dividend,0.4747221226245966
"Dividend Growth Rate, 3 Years",0.1068,0.1326,Dividend,1.241573033707865
EPS Growth (MRQ),-0.166,0.025,Gowth rates,-0.15060240963855423
EPS Growth (TTM),0.1002,0.0943,Gowth rates,0.9411177644710579
Revenue Growth (MRQ),0.19760000000000003,0.0245,Gowth rates,0.12398785425101214
Revenue Growth (TTM),0.171,0.0928,Gowth rates,0.5426900584795321
Return On Equity (TTM),0.4304,,Effectiveness,
Return On Assets (TTM),0.1204,,Effectiveness,
Return On Investment (TTM),0.18920000000000003,,Effectiveness,
Revenue Per Employee (TTM),654648.0,262424.0,Effectiveness,0.40086275372413877
Total Debt/Total Capital (MRQ),0.4744,,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0015,,Financial strength,
Quick Ratio (MRQ),0.11,,Financial strength,
Interest Coverage (MRQ),22.68,,Financial strength,
