,HPE
% Above Low,0.37950000000000006
% Held by Institutions,0.8423999999999999
52-Wk Range,['7.43 - 17.59']
Annual Dividend $,0.48
Annual Dividend %,0.0501
Ask,10.24
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,10.21
Bid Size,200.0
Closing Price,10.25
Day Change $,0.67
Day Change %,0.0699
Day High,10.28
Day Low,9.71
Dividend Pay Date,2020-07-01 00:00:00
"EPS (TTM, GAAP)",0.97
Ex-dividend,2020-06-09 00:00:00
Ex-dividend Date,06/09/20
Historical Volatility,0.48700000000000004
Last (size),83.0
Last (time),6:30p ET 05/08/20
Market Cap,13.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.83
Prev Close,9.58
Short Interest,0.0232
Today's Open,9.76
Volume,7173635.0
Volume 10-day Avg,7768797.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-05-21 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.4161849710982659
Growth 1yr High Est,0.02840909090909083
Growth 1yr Consensus Est,-0.19388794009458754
Growth 2yr Low Est,-0.18829050535111314
Growth 2yr High Est,0.06116587142139618
Growth 2yr Consensus Est,-0.06356231696485848
Growth 5yr Low Est,-0.012730778991346059
Growth 5yr High Est,0.08734122739629557
Growth 5yr Consensus Est,0.03730522420247476
Growth 5yr Actual/Est,0.044265266811461756
Growth 3yr Historic,0.06024959083469722
Price/Earnings (TTM),9.82957
Price/Sales (TTM),0.43259
Price/Book (MRQ),0.72063
Price/Cash Flow (TTM),3.17283
5yr Low,7.43
5yr High,24.88
5yr Avg Return,-0.03876666666666667
EPS Growth 5yr,0.0509741
Revenue Growth 5yr,-0.1197289
Dividend Growth 5yr,
Short Int Current Month,29868089.0
Short Int Prev Month,28808716.0
Short Int Pct of Float,0.023235000000000002
Days to Cover,3.65539
Float,1285.077
Shares Outstanding,1288.342
Institutions Holding Shares,1074.0
FCF Growth 5yr,28.641688901602528
"Price/Earnings (TTM, GAAP)",9.83
"PEG Ratio (TTM, GAAP)",2.0
Gross Profit Margin (TTM),0.33049999999999996
Operating Profit Margin (TTM),0.045700000000000005
Net Profit Margin (TTM),0.045700000000000005
Annual Dividend Yield,0.0501
Dividend Change %,0.2
"Dividend Growth Rate, 3 Years",0.26940000000000003
EPS Growth (MRQ),-0.444
EPS Growth (TTM),-0.4486
Revenue Growth (MRQ),-0.0369
Revenue Growth (TTM),-0.0716
Return On Equity (TTM),0.0735
Return On Assets (TTM),0.025099999999999997
Return On Investment (TTM),0.038
Revenue Per Employee (TTM),463166.0
Total Debt/Total Capital (MRQ),0.4458
Change in Debt/Total Capital Quarter over Quarter,0.0011
Quick Ratio (MRQ),0.65
Interest Coverage (MRQ),
newConstructs,3
researchTeam,reduce
theStreet,hold
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,underperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2020-02-04 00:00:00
cfra since,2017-06-01 00:00:00
ford since,2020-03-27 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2019-04-11 00:00:00
