,Industry,KMI,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",-38.52,25.71,Valuation,-0.6674454828660435
Price/Sales (TTM),3.31,2.62,Valuation,0.7915407854984895
Price/Book (MRQ),2.33,1.02,Valuation,0.43776824034334766
"PEG Ratio (TTM, GAAP)",0.36,,Valuation,
Gross Profit Margin (TTM),0.3986,0.5661,Profitability,1.4202207727044658
Operating Profit Margin (TTM),0.0008,0.3025,Profitability,378.12499999999994
Net Profit Margin (TTM),-0.0022,0.1072,Profitability,-48.72727272727273
Annual Dividend Yield,0.0677,0.0703,Dividend,1.0384047267355982
Dividend Change %,0.1452,0.3103,Dividend,2.1370523415977964
"Dividend Growth Rate, 3 Years",0.0892,0.2386,Dividend,2.6748878923766815
EPS Growth (MRQ),-2.6837,-1.5097,Gowth rates,0.5625442486119909
EPS Growth (TTM),-1.076,-0.1551,Gowth rates,0.14414498141263937
Revenue Growth (MRQ),0.0493,-0.0734,Gowth rates,-1.4888438133874242
Revenue Growth (TTM),-0.0143,-0.0897,Gowth rates,6.2727272727272725
Return On Equity (TTM),0.0538,0.0394,Effectiveness,0.7323420074349442
Return On Assets (TTM),0.0174,0.0184,Effectiveness,1.0574712643678161
Return On Investment (TTM),0.0278,0.0202,Effectiveness,0.7266187050359713
Revenue Per Employee (TTM),3758639.0,1162367.0,Effectiveness,0.3092520989645454
Total Debt/Total Capital (MRQ),0.3738,0.505,Financial strength,1.3509898341359015
Change in Debt/Total Capital Quarter over Quarter,0.0016,0.0001,Financial strength,0.0625
Quick Ratio (MRQ),0.78,0.5,Financial strength,0.641025641025641
Interest Coverage (MRQ),3.59,8.17,Financial strength,2.275766016713092
