,KMI
Price/Earnings (TTM),25.70942
Price/Sales (TTM),2.62196
Price/Book (MRQ),1.02053
Price/Cash Flow (TTM),8.97625
5yr Low,9.42
5yr High,43.0
5yr Avg Return,-0.07391666666666669
EPS Growth 5yr,0.0128823
Revenue Growth 5yr,-0.0403084
Dividend Growth 5yr,-0.10986689999999999
Short Int Current Month,27803665.0
Short Int Prev Month,31609206.0
Short Int Pct of Float,0.0142587
Days to Cover,1.67753
Float,1949.504
Shares Outstanding,2261.487
Institutions Holding Shares,1444.0
% Held by Institutions,0.618306
FCF Growth 5yr,0.14923755147167825
