,KMI
% Above Low,0.6295000000000001
% Held by Institutions,0.6183
52-Wk Range,['9.42 - 22.58']
Annual Dividend $,1.05
Annual Dividend %,0.0703
Ask,15.4
Ask Size,800.0
B/A Ratio,0.125
B/A Size,100x800
Beta,1.0
Bid,15.37
Bid Size,100.0
Closing Price,15.35
Day Change $,0.41
Day Change %,0.0274
Day High,15.4
Day Low,15.1
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",0.58
Ex-dividend,2020-05-01 00:00:00
Ex-dividend Date,05/01/20
Historical Volatility,0.516
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,34.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",25.71
Prev Close,14.94
Short Interest,0.0143
Today's Open,15.22
Volume,10993434.0
Volume 10-day Avg,15268429.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.5483870967741936
Growth 1yr High Est,0.010000000000000009
Growth 1yr Consensus Est,-0.2691935483870968
Growth 2yr Low Est,-0.024193548387096808
Growth 2yr High Est,0.024801980198019824
Growth 2yr Consensus Est,0.0003042159054615079
Growth 5yr Low Est,0.10400853889943076
Growth 5yr High Est,0.1778783659149188
Growth 5yr Consensus Est,0.14094345240717476
Growth 5yr Actual/Est,0.09668000812986552
Growth 3yr Historic,0.10397514470548175
Price/Earnings (TTM),25.70942
Price/Sales (TTM),2.62196
Price/Book (MRQ),1.02053
Price/Cash Flow (TTM),8.97625
5yr Low,9.42
5yr High,43.0
5yr Avg Return,-0.07391666666666669
EPS Growth 5yr,0.0128823
Revenue Growth 5yr,-0.0403084
Dividend Growth 5yr,-0.10986689999999999
Short Int Current Month,27803665.0
Short Int Prev Month,31609206.0
Short Int Pct of Float,0.0142587
Days to Cover,1.67753
Float,1949.504
Shares Outstanding,2261.487
Institutions Holding Shares,1444.0
FCF Growth 5yr,0.14923755147167825
"Price/Earnings (TTM, GAAP)",25.71
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5661
Operating Profit Margin (TTM),0.3025
Net Profit Margin (TTM),0.1072
Annual Dividend Yield,0.0703
Dividend Change %,0.3103
"Dividend Growth Rate, 3 Years",0.2386
EPS Growth (MRQ),-1.5097
EPS Growth (TTM),-0.1551
Revenue Growth (MRQ),-0.0734
Revenue Growth (TTM),-0.0897
Return On Equity (TTM),0.0394
Return On Assets (TTM),0.0184
Return On Investment (TTM),0.0202
Revenue Per Employee (TTM),1162367.0
Total Debt/Total Capital (MRQ),0.505
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),0.5
Interest Coverage (MRQ),8.17
newConstructs,3
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,1
cfra,4
theStreet,hold
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-03-27 00:00:00
theStreet since,2020-03-25 00:00:00
ford since,2019-09-27 00:00:00
creditSuisse since,2018-10-10 00:00:00
