,TGT
% Below High,0.1106
% Held by Institutions,0.7927
52-Wk Range,['70.03 - 130.24']
Annual Dividend $,2.64
Annual Dividend %,0.0233
Ask,117.0
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,0.8
Bid,115.91
Bid Size,500.0
Closing Price,115.83
Day Change $,2.47
Day Change %,0.0218
Day High,116.83
Day Low,114.12
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",6.34
Ex-dividend,2020-05-19 00:00:00
Ex-dividend Date,05/19/20
Historical Volatility,0.419
Last (size),6.0
Last (time),6:30p ET 05/08/20
Market Cap,57.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.27
Prev Close,113.36
Short Interest,0.0321
Today's Open,114.71
Volume,4267439.0
Volume 10-day Avg,4661719.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-05-20 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.5222929936305732
Growth 1yr High Est,0.10730948678071539
Growth 1yr Consensus Est,-0.20749175342492893
Growth 2yr Low Est,0.19718683651804675
Growth 2yr High Est,0.0943850804690094
Growth 2yr Consensus Est,0.14578595849352807
Growth 5yr Low Est,0.17854574341760285
Growth 5yr High Est,0.12893895171775827
Growth 5yr Consensus Est,0.15374234756768057
Growth 5yr Actual/Est,0.11860361816591103
Growth 3yr Historic,0.08247560749835542
Price/Earnings (TTM),18.26862
Price/Sales (TTM),0.74117
Price/Book (MRQ),4.93547
Price/Cash Flow (TTM),9.85785
5yr Low,48.56
5yr High,130.24
5yr Avg Return,0.1124
EPS Growth 5yr,0.1044252
Revenue Growth 5yr,0.014693099999999999
Dividend Growth 5yr,0.0647409
Short Int Current Month,16047169.0
Short Int Prev Month,9665788.0
Short Int Pct of Float,0.032125
Days to Cover,2.77086
Float,498.5474
Shares Outstanding,499.8286
Institutions Holding Shares,1860.0
FCF Growth 5yr,0.05363551295736621
"Price/Earnings (TTM, GAAP)",18.27
"PEG Ratio (TTM, GAAP)",2.7
Gross Profit Margin (TTM),0.29760000000000003
Operating Profit Margin (TTM),0.0596
Net Profit Margin (TTM),0.0418
Annual Dividend Yield,0.022799999999999997
Dividend Change %,0.0317
"Dividend Growth Rate, 3 Years",0.038700000000000005
EPS Growth (MRQ),0.1863
EPS Growth (TTM),0.1678
Revenue Growth (MRQ),0.2536
Revenue Growth (TTM),0.0366
Return On Equity (TTM),0.2827
Return On Assets (TTM),0.07780000000000001
Return On Investment (TTM),0.1198
Revenue Per Employee (TTM),212264.0
Total Debt/Total Capital (MRQ),0.4928
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),0.27
Interest Coverage (MRQ),10.17
newConstructs,1
researchTeam,hold
theStreet,buy
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-09 00:00:00
theStreet since,2017-09-29 00:00:00
cfra since,2015-03-04 00:00:00
ford since,2020-03-06 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-05-13 00:00:00
