,ADI
% Below High,0.13720000000000002
% Held by Institutions,0.873
52-Wk Range,['79.08 - 127.30']
Annual Dividend $,2.48
Annual Dividend %,0.0233
Ask,115.28
Ask Size,100.0
Ask close,109.85
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,105.0
Bid Size,100.0
Bid close,109.74
Change Since Close,0.00| |(0.00%)
Closing Price,109.83
Day Change $,3.48
Day Change %,0.0327
Day High,109.87
Day Low,106.5
Dividend Pay Date,2020-03-10 00:00:00
"EPS (TTM, GAAP)",3.23
Ex-dividend,2020-02-27 00:00:00
Ex-dividend Date,02/27/20
Historical Volatility,0.498
Last (size),56.0
Last (time),4:15p ET 05/08/20
Last Trade,109.83
Market Cap,40.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",32.88
Prev Close,106.35
Short Interest,0.0148
Today's Open,107.12
Volume,1286222.0
Volume 10-day Avg,2104032.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-05-20 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-0.424124513618677
Growth 1yr High Est,-0.06273764258555137
Growth 1yr Consensus Est,-0.24343107810211417
Growth 2yr Low Est,-0.10902171626879792
Growth 2yr High Est,0.06802265943744751
Growth 2yr Consensus Est,-0.020499528415675206
Growth 5yr Low Est,-0.012357495422660625
Growth 5yr High Est,0.06965948443586548
Growth 5yr Consensus Est,0.028650994506602426
Growth 5yr Actual/Est,0.038944559198633905
Growth 3yr Historic,0.03136948581863841
Price/Earnings (TTM),32.88223
Price/Sales (TTM),6.80629
Price/Book (MRQ),3.35003
Price/Cash Flow (TTM),19.34719
5yr Low,47.24
5yr High,127.3
5yr Avg Return,0.12288333333333332
EPS Growth 5yr,0.1300573
Revenue Growth 5yr,0.1589982
Dividend Growth 5yr,0.07688729999999999
Short Int Current Month,5438087.0
Short Int Prev Month,4998134.0
Short Int Pct of Float,0.014818199999999998
Days to Cover,1.95041
Float,367.0186
Shares Outstanding,368.2201
Institutions Holding Shares,1243.0
FCF Growth 5yr,0.31329166873068004
"Price/Earnings (TTM, GAAP)",32.88
"PEG Ratio (TTM, GAAP)",4.73
Gross Profit Margin (TTM),0.6643000000000001
Operating Profit Margin (TTM),0.2656
Net Profit Margin (TTM),0.2102
Annual Dividend Yield,0.0233
Dividend Change %,0.11109999999999999
"Dividend Growth Rate, 3 Years",0.0815
EPS Growth (MRQ),-0.24550000000000002
EPS Growth (TTM),-0.2285
Revenue Growth (MRQ),-0.0968
Revenue Growth (TTM),-0.0718
Return On Equity (TTM),0.1037
Return On Assets (TTM),0.055999999999999994
Return On Investment (TTM),0.0596
Revenue Per Employee (TTM),350825.0
Total Debt/Total Capital (MRQ),0.3197
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),0.75
Interest Coverage (MRQ),6.07
newConstructs,4
researchTeam,hold
theStreet,buy
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
theStreet since,2010-05-04 00:00:00
cfra since,2020-02-21 00:00:00
ford since,2019-11-29 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2017-03-13 00:00:00
