,URI
% Below High,0.2968
% Held by Institutions,0.9445999999999999
52-Wk Range,['58.85 - 170.04']
Annual Dividend $,
Annual Dividend %,
Ask,120.59
Ask Size,400.0
B/A Ratio,1.25
B/A Size,500x400
Beta,2.3
Bid,119.59
Bid Size,500.0
Closing Price,119.58
Day Change $,6.85
Day Change %,0.0608
Day High,119.78
Day Low,113.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",15.33
Ex-dividend Date,No dividend
Historical Volatility,0.637
Last (size),50.0
Last (time),6:30p ET 05/08/20
Market Cap,8.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.8
Prev Close,112.73
Short Interest,0.09939999999999999
Today's Open,115.16
Volume,900850.0
Volume 10-day Avg,1519125.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.5245692405871092
Growth 1yr High Est,-0.26147704590818355
Growth 1yr Consensus Est,-0.39302314324764637
Growth 2yr Low Est,-0.07704972096469553
Growth 2yr High Est,0.011153368937800112
Growth 2yr Consensus Est,-0.03294817601344771
Growth 5yr Low Est,0.16660347003992912
Growth 5yr High Est,0.19287264205398788
Growth 5yr Consensus Est,0.17973805604695853
Growth 5yr Actual/Est,0.15812383186494233
Growth 3yr Historic,0.18397569244814266
Price/Earnings (TTM),7.79911
Price/Sales (TTM),0.94649
Price/Book (MRQ),2.44628
Price/Cash Flow (TTM),2.73656
5yr Low,41.9
5yr High,190.74
5yr Avg Return,0.1267666666666667
EPS Growth 5yr,0.2403978
Revenue Growth 5yr,0.10465210000000001
Dividend Growth 5yr,
Short Int Current Month,7313258.0
Short Int Prev Month,5984883.0
Short Int Pct of Float,0.09938169999999999
Days to Cover,3.98824
Float,73.38453
Shares Outstanding,74.07792
Institutions Holding Shares,926.0
FCF Growth 5yr,0.2374034602698954
"Price/Earnings (TTM, GAAP)",7.8
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3885
Operating Profit Margin (TTM),0.22890000000000002
Net Profit Margin (TTM),0.1252
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.4798
EPS Growth (TTM),0.155
Revenue Growth (MRQ),-0.1348
Revenue Growth (TTM),0.11019999999999999
Return On Equity (TTM),0.3344
Return On Assets (TTM),0.0626
Return On Investment (TTM),0.0706
Revenue Per Employee (TTM),490000.0
Total Debt/Total Capital (MRQ),0.7614000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),1.05
Interest Coverage (MRQ),2.65
newConstructs,2
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,3
theStreet,hold
cfra,4
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-13 00:00:00
cfra since,2020-01-31 00:00:00
ford since,2020-04-09 00:00:00
creditSuisse since,
