,NRG
% Below High,0.2157
% Held by Institutions,0.9503
52-Wk Range,['19.54 - 41.78']
Annual Dividend $,1.2
Annual Dividend %,0.0374
Ask,33.7
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,30.44
Bid Size,100.0
Closing Price,32.77
Day Change $,0.65
Day Change %,0.0202
Day High,33.39
Day Low,32.29
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",16.39
Ex-dividend,2020-04-30 00:00:00
Ex-dividend Date,04/30/20
Historical Volatility,0.444
Last (size),41.0
Last (time),6:30p ET 05/08/20
Market Cap,8.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",1.96
Prev Close,32.12
Short Interest,0.0316
Today's Open,32.5
Volume,2407654.0
Volume 10-day Avg,2780628.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.052980132450331174
Growth 1yr High Est,0.13242009132420085
Growth 1yr Consensus Est,0.09270011188726601
Growth 2yr Low Est,0.001332833520763077
Growth 2yr High Est,0.24161327146855205
Growth 2yr Consensus Est,0.12147305249465756
Growth 5yr Low Est,1.2914827432909939
Growth 5yr High Est,0.6759536945578053
Growth 5yr Consensus Est,0.9837182189243996
Growth 5yr Actual/Est,0.5634768577412224
Growth 3yr Historic,0.48362611147256557
Price/Earnings (TTM),1.96031
Price/Sales (TTM),0.83177
Price/Book (MRQ),5.13635
Price/Cash Flow (TTM),1.76285
5yr Low,8.8
5yr High,43.66
5yr Avg Return,0.17373333333333332
EPS Growth 5yr,1.3238910000000002
Revenue Growth 5yr,-0.0914963
Dividend Growth 5yr,-0.2597857
Short Int Current Month,7848578.0
Short Int Prev Month,5838120.0
Short Int Pct of Float,0.0315792
Days to Cover,2.29147
Float,248.0856
Shares Outstanding,250.5418
Institutions Holding Shares,673.0
FCF Growth 5yr,0.2791926511393144
"Price/Earnings (TTM, GAAP)",2.0
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2652
Operating Profit Margin (TTM),0.1174
Net Profit Margin (TTM),0.4286
Annual Dividend Yield,0.0366
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",-0.20070000000000002
EPS Growth (MRQ),-0.9646
EPS Growth (TTM),19.380300000000002
Revenue Growth (MRQ),-0.0802
Revenue Growth (TTM),0.032100000000000004
Return On Equity (TTM),
Return On Assets (TTM),0.3711
Return On Investment (TTM),0.4729
Revenue Per Employee (TTM),2113830.0
Total Debt/Total Capital (MRQ),0.8076000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0023
Quick Ratio (MRQ),1.09
Interest Coverage (MRQ),2.21
theStreet,buy
newConstructs,2
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,3
ford,3
creditSuisse,
theStreet since,2020-02-28 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2016-08-09 00:00:00
ford since,2019-12-13 00:00:00
creditSuisse since,
