,Industry,NRG,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",12.46,2.0,Valuation,0.16051364365971107
Price/Sales (TTM),2.32,0.83,Valuation,0.3577586206896552
Price/Book (MRQ),2.38,5.24,Valuation,2.2016806722689077
"PEG Ratio (TTM, GAAP)",0.08,,Valuation,
Gross Profit Margin (TTM),0.3809,0.2652,Profitability,0.6962457337883958
Operating Profit Margin (TTM),0.20980000000000001,0.1174,Profitability,0.559580552907531
Net Profit Margin (TTM),-0.0021,0.4286,Profitability,-204.0952380952381
Annual Dividend Yield,0.0401,0.0366,Dividend,0.9127182044887782
Dividend Change %,-0.0045000000000000005,0.0,Dividend,-0.0
"Dividend Growth Rate, 3 Years",-0.005600000000000001,-0.20070000000000002,Dividend,35.839285714285715
EPS Growth (MRQ),-0.8406,-0.9646,Gowth rates,1.147513680704259
EPS Growth (TTM),1.5367,19.380300000000002,Gowth rates,12.6116353224442
Revenue Growth (MRQ),-0.018500000000000003,-0.0802,Gowth rates,4.335135135135134
Revenue Growth (TTM),0.028300000000000002,0.032100000000000004,Gowth rates,1.1342756183745584
Return On Equity (TTM),0.016,,Effectiveness,
Return On Assets (TTM),-0.0514,0.3711,Effectiveness,-7.219844357976653
Return On Investment (TTM),0.0693,0.4729,Effectiveness,6.823953823953824
Revenue Per Employee (TTM),2214501.0,2113830.0,Effectiveness,0.9545400972950565
Total Debt/Total Capital (MRQ),0.6132,0.8076000000000001,Financial strength,1.3170254403131119
Change in Debt/Total Capital Quarter over Quarter,-0.0002,-0.0023,Financial strength,11.5
Quick Ratio (MRQ),0.56,1.09,Financial strength,1.9464285714285714
Interest Coverage (MRQ),1.64,2.21,Financial strength,1.3475609756097562
