,HST
% Above Low,0.408
% Held by Institutions,1.0231000000000001
52-Wk Range,['7.86 - 19.42']
Annual Dividend $,0.8
Annual Dividend %,0.0724
Ask,11.3
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.3
Bid,10.51
Bid Size,200.0
Closing Price,11.06
Day Change $,0.01
Day Change %,0.0009
Day High,11.28
Day Low,10.72
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",1.26
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.47500000000000003
Last (size),50.0
Last (time),6:30p ET 05/08/20
Market Cap,7.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.8
Prev Close,11.05
Short Interest,0.057999999999999996
Today's Open,11.25
Volume,9927112.0
Volume 10-day Avg,11353396.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-1.935483870967742
Growth 1yr High Est,-0.4242424242424243
Growth 1yr Consensus Est,-1.1798631476050832
Growth 2yr Low Est,-1.0970522803114573
Growth 2yr High Est,-0.2384370015948964
Growth 2yr Consensus Est,-0.6677446409531769
Growth 5yr Low Est,-0.3216030632326517
Growth 5yr High Est,0.03322052359279573
Growth 5yr Consensus Est,-0.14419126981992797
Growth 5yr Actual/Est,-0.47907074621485224
Growth 3yr Historic,0.1943042537851478
Price/Earnings (TTM),8.79567
Price/Sales (TTM),1.42622
Price/Book (MRQ),1.07707
Price/Cash Flow (TTM),4.85074
5yr Low,7.86
5yr High,22.47
5yr Avg Return,-0.06601666666666667
EPS Growth 5yr,0.0545972
Revenue Growth 5yr,0.005502
Dividend Growth 5yr,0.030026
Short Int Current Month,40435881.0
Short Int Prev Month,36854959.0
Short Int Pct of Float,0.0579763
Days to Cover,3.89846
Float,697.5674
Shares Outstanding,705.8817
Institutions Holding Shares,770.0
FCF Growth 5yr,0.09698810045229747
"Price/Earnings (TTM, GAAP)",8.8
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1359
Net Profit Margin (TTM),0.1704
Annual Dividend Yield,0.0724
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.7803
EPS Growth (TTM),-0.1441
Revenue Growth (MRQ),0.0571
Revenue Growth (TTM),-0.01
Return On Equity (TTM),0.1242
Return On Assets (TTM),0.0764
Return On Investment (TTM),0.0815
Revenue Per Employee (TTM),31251430.0
Total Debt/Total Capital (MRQ),0.3369
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.89
theStreet,hold
newConstructs,3
researchTeam,reduce
cfra,2
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,
theStreet since,2020-03-06 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-05-31 00:00:00
cfra since,2019-08-07 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
