,HBI
% Above Low,0.36060000000000003
% Held by Institutions,1.0735
52-Wk Range,['6.96 - 17.92']
Annual Dividend $,0.6
Annual Dividend %,0.0644
Ask,9.64
Ask Size,15000.0
B/A Ratio,0.006666666666666667
B/A Size,100x15000
Beta,1.5
Bid,9.36
Bid Size,100.0
Closing Price,9.47
Day Change $,0.16
Day Change %,0.0172
Day High,9.64
Day Low,9.34
Dividend Pay Date,2020-06-09 00:00:00
"EPS (TTM, GAAP)",1.4
Ex-dividend,2020-05-18 00:00:00
Ex-dividend Date,05/18/20
Historical Volatility,0.52
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,3.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",6.63
Prev Close,9.31
Short Interest,0.1589
Today's Open,9.45
Volume,6021554.0
Volume 10-day Avg,9096730.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.8620689655172413
Growth 1yr High Est,-0.4044943820224719
Growth 1yr Consensus Est,-0.6332816737698566
Growth 2yr Low Est,0.9439655172413796
Growth 2yr High Est,0.07133771464914135
Growth 2yr Consensus Est,0.5076516159452604
Growth 5yr Low Est,0.44829112542327737
Growth 5yr High Est,0.014313545969259323
Growth 5yr Consensus Est,0.23130233569626835
Growth 5yr Actual/Est,0.02867995643646723
Growth 3yr Historic,-0.02118746780595704
Price/Earnings (TTM),6.63205
Price/Sales (TTM),0.48395
Price/Book (MRQ),3.70915
Price/Cash Flow (TTM),5.03554
5yr Low,6.96
5yr High,34.78
5yr Avg Return,-0.15411666666666668
EPS Growth 5yr,0.1063845
Revenue Growth 5yr,0.05523310000000001
Dividend Growth 5yr,0.1486984
Short Int Current Month,56181721.0
Short Int Prev Month,57126529.0
Short Int Pct of Float,0.1589015
Days to Cover,5.83007
Float,333.9213
Shares Outstanding,348.0353
Institutions Holding Shares,814.0
FCF Growth 5yr,0.08179690993794078
"Price/Earnings (TTM, GAAP)",6.63
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3935
Operating Profit Margin (TTM),0.1159
Net Profit Margin (TTM),0.0767
Annual Dividend Yield,0.0644
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.10890000000000001
EPS Growth (MRQ),-1.0447
EPS Growth (TTM),-0.0435
Revenue Growth (MRQ),-0.2482
Revenue Growth (TTM),-0.0325
Return On Equity (TTM),0.5683
Return On Assets (TTM),0.0651
Return On Investment (TTM),0.08720000000000001
Revenue Per Employee (TTM),106276.0
Total Debt/Total Capital (MRQ),0.8375
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),1.11
Interest Coverage (MRQ),1.7
newConstructs,1
researchTeam,reduce
cfra,2
theStreet,hold
ford,3
marketEdge opinion,avoid
marketEdge,1
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-01-30 00:00:00
cfra since,2019-01-30 00:00:00
theStreet since,2017-10-13 00:00:00
ford since,2020-03-20 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-05-02 00:00:00
