,2015,2016,2017,2018,2019,2020,Report
high,193.02,194.1,202.99,187.47,163.64,158.44,
low,140.5,123.6,158.8,99.4,103.81,64.0,
change,-0.2095,0.2588,-0.0808,-0.3683,0.4157,-0.244,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash and Short Term Invs,772.0,1085.0,1196.0,1498.0,1952.0,,Balance Sheet
"Trade Accts Recvble, Gross",2690.0,2896.0,2822.0,2346.0,2330.0,,Balance Sheet
Prov. for Doubtful Accts,-160.0,-185.0,-157.0,-136.0,-132.0,,Balance Sheet
"Total Receivables, Net",2530.0,2711.0,2665.0,2210.0,2198.0,,Balance Sheet
Invent. - Finished Goods,2093.0,2070.0,2374.0,2076.0,1979.0,,Balance Sheet
Invent. - Raw Materials,655.0,651.0,725.0,617.0,602.0,,Balance Sheet
LIFO Reserve,-129.0,-98.0,-111.0,-160.0,-143.0,,Balance Sheet
Total Inventory,2619.0,2623.0,2988.0,2533.0,2438.0,,Balance Sheet
Prepaid Expenses,905.0,875.0,1033.0,799.0,810.0,,Balance Sheet
Restricted Cash - Current,48.0,45.0,48.0,40.0,0.0,,Balance Sheet
Discont. Ops.-Curr. Assets,,,,818.0,0.0,,Balance Sheet
"Other Curr. Assets, Total",48.0,45.0,48.0,858.0,0.0,,Balance Sheet
Total Current Assets,6874.0,7339.0,7930.0,7898.0,7398.0,,Balance Sheet
Buildings,1614.0,1652.0,1789.0,1593.0,1540.0,,Balance Sheet
Land/Improvements,131.0,128.0,123.0,102.0,97.0,,Balance Sheet
Machinery/Equipment,7982.0,8085.0,8946.0,7909.0,8108.0,,Balance Sheet
Other Prop./Plant/Equip.,,,,,921.0,,Balance Sheet
Prop./Plant/Equip. - Gross,9727.0,9865.0,10858.0,9604.0,10666.0,,Balance Sheet
Accumulated Depreciation,-5953.0,-6055.0,-6825.0,-6190.0,-6444.0,,Balance Sheet
Prop./Plant/Equip. - Net,3774.0,3810.0,4033.0,3414.0,4222.0,,Balance Sheet
"Goodwill, Net",3006.0,2956.0,3118.0,2451.0,2440.0,,Balance Sheet
Intangibles - Gross,3005.0,2939.0,3067.0,2823.0,2818.0,,Balance Sheet
Accum. Intangible Amort.,-327.0,-387.0,-476.0,-527.0,-593.0,,Balance Sheet
Intangibles - Net,2678.0,2552.0,2591.0,2296.0,2225.0,,Balance Sheet
Def. Inc. Tax - LT Asset,2301.0,2154.0,2013.0,1989.0,2238.0,,Balance Sheet
Restricted Cash - LT,191.0,155.0,49.0,0.0,0.0,,Balance Sheet
Other Long Term Assets,186.0,187.0,304.0,299.0,358.0,,Balance Sheet
Total Assets,19010.0,19153.0,20038.0,18347.0,18881.0,,Balance Sheet
Accounts Payable,4403.0,4416.0,4797.0,4487.0,4547.0,,Balance Sheet
Accrued Expenses,1833.0,1781.0,1941.0,1910.0,2217.0,,Balance Sheet
Notes Payable/ST Debt,20.0,34.0,450.0,1034.0,294.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,508.0,560.0,376.0,947.0,559.0,,Balance Sheet
Discontinued Operations,,,,489.0,0.0,,Balance Sheet
Other Current Liabilities,980.0,871.0,941.0,811.0,752.0,,Balance Sheet
"Other Curr. Lblts, Total",980.0,871.0,941.0,1300.0,752.0,,Balance Sheet
Total Current Liabilities,7744.0,7662.0,8505.0,9678.0,8369.0,,Balance Sheet
Total Long Term Debt,3470.0,3876.0,4392.0,4046.0,4140.0,,Balance Sheet
Total Debt,3998.0,4470.0,5218.0,6027.0,4993.0,,Balance Sheet
Minority Interest,931.0,955.0,930.0,914.0,923.0,,Balance Sheet
Pension Benefits - Underfunded,1415.0,1408.0,1381.0,955.0,864.0,,Balance Sheet
Other LT Liabilities,707.0,479.0,632.0,463.0,1390.0,,Balance Sheet
"Other Liabilities, Total",2122.0,1887.0,2013.0,1418.0,2254.0,,Balance Sheet
Total Liabilities,14267.0,14380.0,15840.0,16056.0,15686.0,,Balance Sheet
Common Stock,111.0,111.0,112.0,112.0,112.0,,Balance Sheet
Additional Paid-In Capital,2641.0,2672.0,2739.0,2768.0,2806.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),6722.0,7314.0,7352.0,6933.0,7870.0,,Balance Sheet
Treasury Stock - Common,-2399.0,-2924.0,-3674.0,-4827.0,-4975.0,,Balance Sheet
Unrealized Gain (Loss),13.0,11.0,17.0,0.0,0.0,,Balance Sheet
Cum. Trans. Adjustment,-1348.0,-1395.0,-1320.0,-1588.0,-1532.0,,Balance Sheet
Min. Pension Lblty Adj.,-967.0,-1031.0,-1039.0,-1074.0,-1040.0,,Balance Sheet
Other Comprehensive Income,-30.0,15.0,11.0,-33.0,-46.0,,Balance Sheet
"Other Equity, Total",-2345.0,-2411.0,-2348.0,-2695.0,-2618.0,,Balance Sheet
Total Equity,4743.0,4773.0,4198.0,2291.0,3195.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,19010.0,19153.0,20038.0,18347.0,18881.0,,Balance Sheet
Ttl Comm. Shares Outs.,77.0,74.0,71.0,64.0,63.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,33.0,37.0,41.0,48.0,49.0,,Balance Sheet
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Income Statement
Total Revenue,20891.0,20718.0,21253.0,21037.0,20419.0,,Income Statement
"Cost of Revenue, Total",17231.0,17026.0,17651.0,17500.0,16886.0,,Income Statement
"Sell/Gen/AdminExpenses,Tot",2143.0,2080.0,2112.0,2189.0,2142.0,,Income Statement
Depreciation/Amortization,74.0,71.0,79.0,75.0,69.0,,Income Statement
Restructuring Charge,201.0,173.0,275.0,247.0,188.0,,Income Statement
