,TXN
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,31.0
Growth 1yr Low Est,-0.3214990138067062
Growth 1yr High Est,-0.10364683301343569
Growth 1yr Consensus Est,-0.21257292341007095
Growth 2yr Low Est,-0.14476113481032982
Growth 2yr High Est,0.20192390683375327
Growth 2yr Consensus Est,0.02858138601171173
Growth 5yr Low Est,-0.023797917131940877
Growth 5yr High Est,0.15261272347847346
Growth 5yr Consensus Est,0.06440740317326629
Growth 5yr Actual/Est,0.04828537978897304
Growth 3yr Historic,0.05487457123631648
