,TXN
% Below High,0.1525
% Held by Institutions,0.8551000000000001
52-Wk Range,['93.09 - 135.70']
Annual Dividend $,3.6
Annual Dividend %,0.0317
Ask,115.69
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,1.1
Bid,115.04
Bid Size,500.0
Closing Price,115.0
Day Change $,1.35
Day Change %,0.011899999999999999
Day High,115.54
Day Low,112.75
Dividend Pay Date,2020-05-18 00:00:00
"EPS (TTM, GAAP)",5.21
Ex-dividend,2020-05-01 00:00:00
Ex-dividend Date,05/01/20
Historical Volatility,0.43
Last (size),70.0
Last (time),4:15p ET 05/08/20
Market Cap,105.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.06
Prev Close,113.65
Short Interest,0.0209
Today's Open,113.96
Volume,4331296.0
Volume 10-day Avg,4953743.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,31.0
Growth 1yr Low Est,-0.3214990138067062
Growth 1yr High Est,-0.10364683301343569
Growth 1yr Consensus Est,-0.21257292341007095
Growth 2yr Low Est,-0.14476113481032982
Growth 2yr High Est,0.20192390683375327
Growth 2yr Consensus Est,0.02858138601171173
Growth 5yr Low Est,-0.023797917131940877
Growth 5yr High Est,0.15261272347847346
Growth 5yr Consensus Est,0.06440740317326629
Growth 5yr Actual/Est,0.04828537978897304
Growth 3yr Historic,0.05487457123631648
Price/Earnings (TTM),22.06307
Price/Sales (TTM),7.47584
Price/Book (MRQ),13.70187
Price/Cash Flow (TTM),17.54386
5yr Low,43.49
5yr High,135.7
5yr Avg Return,0.15988333333333332
EPS Growth 5yr,0.1528196
Revenue Growth 5yr,0.0197203
Dividend Growth 5yr,0.2095301
Short Int Current Month,19460031.0
Short Int Prev Month,19379584.0
Short Int Pct of Float,0.0208996
Days to Cover,3.10663
Float,915.5433
Shares Outstanding,917.7726
Institutions Holding Shares,2085.0
FCF Growth 5yr,0.09208267224271435
"Price/Earnings (TTM, GAAP)",22.06
"PEG Ratio (TTM, GAAP)",3.28
Gross Profit Margin (TTM),0.6368
Operating Profit Margin (TTM),0.3958
Net Profit Margin (TTM),0.3523
Annual Dividend Yield,0.0313
Dividend Change %,0.2205
"Dividend Growth Rate, 3 Years",0.2509
EPS Growth (MRQ),0.10470000000000002
EPS Growth (TTM),-0.0538
Revenue Growth (MRQ),-0.0063
Revenue Growth (TTM),-0.0944
Return On Equity (TTM),0.6086
Return On Assets (TTM),0.2865
Return On Investment (TTM),0.3296
Revenue Per Employee (TTM),474268.0
Total Debt/Total Capital (MRQ),0.4586
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002
Quick Ratio (MRQ),2.65
Interest Coverage (MRQ),27.64
newConstructs,3
researchTeam,hold
theStreet,buy
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-17 00:00:00
theStreet since,2010-05-04 00:00:00
cfra since,2014-04-24 00:00:00
ford since,2020-02-28 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2017-01-09 00:00:00
