,TJX
% Above Low,0.4826
% Held by Institutions,0.9037000000000001
52-Wk Range,['32.72 - 64.95']
Annual Dividend $,0.92
Annual Dividend %,0.019
Ask,49.75
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,0.7
Bid,48.51
Bid Size,500.0
Closing Price,48.51
Day Change $,0.01
Day Change %,0.0002
Day High,49.42
Day Low,48.25
Dividend Pay Date,2020-03-05 00:00:00
"EPS (TTM, GAAP)",2.67
Ex-dividend,2020-02-12 00:00:00
Ex-dividend Date,02/12/20
Historical Volatility,0.457
Last (size),300.0
Last (time),6:30p ET 05/08/20
Market Cap,58.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.17
Prev Close,48.5
Short Interest,0.0102
Today's Open,49.19
Volume,5587076.0
Volume 10-day Avg,9456220.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-05-21 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,-1.053639846743295
Growth 1yr High Est,-0.1842105263157895
Growth 1yr Consensus Est,-0.6189251865295422
Growth 2yr Low Est,-6.526819923371647
Growth 2yr High Est,0.09913897647344166
Growth 2yr Consensus Est,-3.213840473449103
Growth 5yr Low Est,-3.3390504047117586
Growth 5yr High Est,-0.027671884138791958
Growth 5yr Consensus Est,-1.6833611444252752
Growth 5yr Actual/Est,0.18427171212751736
Growth 3yr Historic,0.08150953984287318
Price/Earnings (TTM),18.17276
Price/Sales (TTM),1.39288
Price/Book (MRQ),9.77913
Price/Cash Flow (TTM),14.03715
5yr Low,31.77
5yr High,64.95
5yr Avg Return,0.07921666666666667
EPS Growth 5yr,0.111265
Revenue Growth 5yr,0.0748514
Dividend Growth 5yr,
Short Int Current Month,12179883.0
Short Int Prev Month,12830626.0
Short Int Pct of Float,0.010176099999999999
Days to Cover,1.25613
Float,1197.106
Shares Outstanding,1197.83
Institutions Holding Shares,1892.0
FCF Growth 5yr,0.12880990493448374
"Price/Earnings (TTM, GAAP)",18.17
"PEG Ratio (TTM, GAAP)",2.37
Gross Profit Margin (TTM),0.35600000000000004
Operating Profit Margin (TTM),0.1061
Net Profit Margin (TTM),0.0784
Annual Dividend Yield,
Dividend Change %,0.19390000000000002
"Dividend Growth Rate, 3 Years",0.2137
EPS Growth (MRQ),0.1938
EPS Growth (TTM),0.098
Revenue Growth (MRQ),0.1679
Revenue Growth (TTM),0.0704
Return On Equity (TTM),0.5951
Return On Assets (TTM),0.17010000000000003
Return On Investment (TTM),0.25379999999999997
Revenue Per Employee (TTM),145864.0
Total Debt/Total Capital (MRQ),0.2733
Change in Debt/Total Capital Quarter over Quarter,-0.0040999999999999995
Quick Ratio (MRQ),0.56
Interest Coverage (MRQ),57.71
newConstructs,1
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,buy
cfra,5
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2009-04-08 00:00:00
cfra since,2020-02-27 00:00:00
ford since,2020-02-28 00:00:00
creditSuisse since,2020-03-30 00:00:00
