,Industry,TJX,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",22.3,18.17,Valuation,0.8147982062780269
Price/Sales (TTM),202.03,1.39,Valuation,0.00688016631193387
Price/Book (MRQ),30.14,9.78,Valuation,0.3244857332448573
"PEG Ratio (TTM, GAAP)",1.1,2.37,Valuation,2.1545454545454543
Gross Profit Margin (TTM),0.3351,0.35600000000000004,Profitability,1.0623694419576246
Operating Profit Margin (TTM),0.0725,0.1061,Profitability,1.463448275862069
Net Profit Margin (TTM),0.039900000000000005,0.0784,Profitability,1.964912280701754
Annual Dividend Yield,0.0167,,Dividend,
Dividend Change %,0.17579999999999998,0.19390000000000002,Dividend,1.102957906712173
"Dividend Growth Rate, 3 Years",0.16570000000000001,0.2137,Dividend,1.2896801448400723
EPS Growth (MRQ),0.33170000000000005,0.1938,Gowth rates,0.5842628881519445
EPS Growth (TTM),0.2023,0.098,Gowth rates,0.4844290657439446
Revenue Growth (MRQ),0.0322,0.1679,Gowth rates,5.214285714285714
Revenue Growth (TTM),0.055999999999999994,0.0704,Gowth rates,1.2571428571428573
Return On Equity (TTM),0.5252,0.5951,Effectiveness,1.1330921553693831
Return On Assets (TTM),0.1512,0.17010000000000003,Effectiveness,1.1250000000000002
Return On Investment (TTM),0.2407,0.25379999999999997,Effectiveness,1.05442459493145
Revenue Per Employee (TTM),323754.0,145864.0,Effectiveness,0.45053960723265196
Total Debt/Total Capital (MRQ),0.7842,0.2733,Financial strength,0.34850803366488137
Change in Debt/Total Capital Quarter over Quarter,-0.0008,-0.0040999999999999995,Financial strength,5.124999999999999
Quick Ratio (MRQ),0.38,0.56,Financial strength,1.473684210526316
Interest Coverage (MRQ),13.86,57.71,Financial strength,4.163780663780664
