,CMA
% Above Low,0.3958
% Held by Institutions,0.8495
52-Wk Range,['24.28 - 77.13']
Annual Dividend $,2.72
Annual Dividend %,0.084
Ask,39.87
Ask Size,100.0
B/A Ratio,8.0
B/A Size,800x100
Beta,1.8
Bid,32.19
Bid Size,800.0
Closing Price,33.89
Day Change $,1.52
Day Change %,0.047
Day High,34.13
Day Low,32.93
Dividend Pay Date,2020-07-01 00:00:00
"EPS (TTM, GAAP)",5.29
Ex-dividend,2020-06-12 00:00:00
Ex-dividend Date,06/12/20
Historical Volatility,0.612
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,4.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.11
Prev Close,32.37
Short Interest,0.027999999999999997
Today's Open,33.48
Volume,1794535.0
Volume 10-day Avg,2642440.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-15 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-1.2734375
Growth 1yr High Est,-0.6134347275031686
Growth 1yr Consensus Est,-0.9434361137515843
Growth 2yr Low Est,-1.6129092261904763
Growth 2yr High Est,0.11951214444513714
Growth 2yr Consensus Est,-0.7466985408726696
Growth 5yr Low Est,-0.6551307903303224
Growth 5yr High Est,0.20722668461412957
Growth 5yr Consensus Est,-0.2239520528580964
Growth 5yr Actual/Est,0.5186091155635439
Growth 3yr Historic,0.1514151493930906
Price/Earnings (TTM),6.11468
Price/Sales (TTM),1.38266
Price/Book (MRQ),0.60803
Price/Cash Flow (TTM),4.97299
5yr Low,24.28
5yr High,102.66
5yr Avg Return,0.021066666666666657
EPS Growth 5yr,0.2001672
Revenue Growth 5yr,0.09910930000000001
Dividend Growth 5yr,0.2866613
Short Int Current Month,3886841.0
Short Int Prev Month,4890094.0
Short Int Pct of Float,0.0279872
Days to Cover,1.29404
Float,137.6537
Shares Outstanding,139.0347
Institutions Holding Shares,732.0
FCF Growth 5yr,0.25692163134260565
"Price/Earnings (TTM, GAAP)",6.11
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.314
Net Profit Margin (TTM),0.2439
Annual Dividend Yield,0.084
Dividend Change %,0.4565
"Dividend Growth Rate, 3 Years",0.455
EPS Growth (MRQ),-1.2486
EPS Growth (TTM),-0.3093
Revenue Growth (MRQ),-0.0759
Revenue Growth (TTM),-0.012
Return On Equity (TTM),0.10650000000000001
Return On Assets (TTM),0.0108
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0037
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,1
researchTeam,reduce
theStreet,hold
cfra,1
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-01-20 00:00:00
theStreet since,2020-02-28 00:00:00
cfra since,2020-04-14 00:00:00
ford since,2019-07-12 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
