,YUM
% Above Low,0.5683
% Held by Institutions,0.7643000000000001
52-Wk Range,['54.95 - 119.72']
Annual Dividend $,1.88
Annual Dividend %,0.0222
Ask,86.89
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,0.9
Bid,86.18
Bid Size,400.0
Closing Price,86.18
Day Change $,1.58
Day Change %,0.0187
Day High,86.58
Day Low,85.0
Dividend Pay Date,2020-03-06 00:00:00
"EPS (TTM, GAAP)",3.58
Ex-dividend,2020-02-13 00:00:00
Ex-dividend Date,02/13/20
Historical Volatility,0.414
Last (size),49.0
Last (time),6:30p ET 05/08/20
Market Cap,25.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.08
Prev Close,84.6
Short Interest,0.0151
Today's Open,86.04
Volume,1949324.0
Volume 10-day Avg,2130557.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.4491525423728814
Growth 1yr High Est,-0.17553191489361697
Growth 1yr Consensus Est,-0.3123422286332492
Growth 2yr Low Est,0.0549109083007388
Growth 2yr High Est,0.10255662319835279
Growth 2yr Consensus Est,0.0787337657495458
Growth 5yr Low Est,0.0549109083007388
Growth 5yr High Est,0.10255662319835279
Growth 5yr Consensus Est,0.0787337657495458
Growth 5yr Actual/Est,0.07833247821195521
Growth 3yr Historic,0.04770494074516152
Price/Earnings (TTM),24.07511
Price/Sales (TTM),4.627
Price/Book (MRQ),
Price/Cash Flow (TTM),21.12294
5yr Low,54.95
5yr High,119.72
5yr Avg Return,0.010466666666666662
EPS Growth 5yr,0.1323434
Revenue Growth 5yr,-0.0320487
Dividend Growth 5yr,0.0202184
Short Int Current Month,4524012.0
Short Int Prev Month,4565865.0
Short Int Pct of Float,0.015062599999999999
Days to Cover,1.54196
Float,300.4255
Shares Outstanding,300.986
Institutions Holding Shares,1294.0
FCF Growth 5yr,0.07636687157429534
"Price/Earnings (TTM, GAAP)",24.08
"PEG Ratio (TTM, GAAP)",5.25
Gross Profit Margin (TTM),0.49460000000000004
Operating Profit Margin (TTM),0.3116
Net Profit Margin (TTM),0.19890000000000002
Annual Dividend Yield,0.021800000000000003
Dividend Change %,0.16670000000000001
"Dividend Growth Rate, 3 Years",-0.0385
EPS Growth (MRQ),-0.8283
EPS Growth (TTM),-0.1101
Revenue Growth (MRQ),-0.2544
Revenue Growth (TTM),0.0063
Return On Equity (TTM),
Return On Assets (TTM),0.2059
Return On Investment (TTM),0.2787
Revenue Per Employee (TTM),164882.0
Total Debt/Total Capital (MRQ),3.5111000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.43
newConstructs,2
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,3
theStreet,hold
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-10-30 00:00:00
theStreet since,2016-04-21 00:00:00
ford since,2019-10-18 00:00:00
creditSuisse since,2019-06-25 00:00:00
