,TSN
% Above Low,0.4186
% Held by Institutions,0.8786
52-Wk Range,['42.57 - 94.24']
Annual Dividend $,1.68
Annual Dividend %,0.029300000000000003
Ask,60.96
Ask Size,3000.0
B/A Ratio,0.03333333333333333
B/A Size,100x3000
Beta,0.7
Bid,60.35
Bid Size,100.0
Closing Price,60.39
Day Change $,3.13
Day Change %,0.0547
Day High,61.1
Day Low,57.82
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",5.42
Ex-dividend,2020-05-29 00:00:00
Ex-dividend Date,05/29/20
Historical Volatility,0.461
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,22.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.15
Prev Close,57.26
Short Interest,0.0166
Today's Open,57.96
Volume,5191779.0
Volume 10-day Avg,4861214.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-08-03 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.37360594795539026
Growth 1yr High Est,0.18103448275862077
Growth 1yr Consensus Est,-0.09628573259838474
Growth 2yr Low Est,-0.013212469526656612
Growth 2yr High Est,0.11606468663478486
Growth 2yr Consensus Est,0.051426108554064126
Growth 5yr Low Est,0.0028711535250509623
Growth 5yr High Est,0.08494475515656297
Growth 5yr Consensus Est,0.043907954340806965
Growth 5yr Actual/Est,0.04897942308307371
Growth 3yr Historic,0.011609741482622865
Price/Earnings (TTM),11.15034
Price/Sales (TTM),0.5061
Price/Book (MRQ),1.52553
Price/Cash Flow (TTM),7.02244
5yr Low,39.05
5yr High,94.24
5yr Avg Return,0.13403333333333334
EPS Growth 5yr,0.18602090000000002
Revenue Growth 5yr,0.024453
Dividend Growth 5yr,0.37972969999999995
Short Int Current Month,4762241.0
Short Int Prev Month,5414707.0
Short Int Pct of Float,0.0165661
Days to Cover,1.76324
Float,286.2823
Shares Outstanding,364.3201
Institutions Holding Shares,1062.0
FCF Growth 5yr,-0.04032698954015805
"Price/Earnings (TTM, GAAP)",11.15
"PEG Ratio (TTM, GAAP)",1.19
Gross Profit Margin (TTM),0.1137
Operating Profit Margin (TTM),0.0637
Net Profit Margin (TTM),0.045599999999999995
Annual Dividend Yield,0.0278
Dividend Change %,0.25
"Dividend Growth Rate, 3 Years",0.3572
EPS Growth (MRQ),-0.3465
EPS Growth (TTM),-0.0409
Revenue Growth (MRQ),0.0067
Revenue Growth (TTM),0.06849999999999999
Return On Equity (TTM),0.1411
Return On Assets (TTM),0.059699999999999996
Return On Investment (TTM),0.0694
Revenue Per Employee (TTM),308312.0
Total Debt/Total Capital (MRQ),0.4537
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),0.7
Interest Coverage (MRQ),4.21
newConstructs,3
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,5
theStreet,hold
creditSuisse,outperform
ford,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-01-30 00:00:00
theStreet since,2020-03-24 00:00:00
creditSuisse since,2019-05-14 00:00:00
ford since,2020-04-24 00:00:00
