,Industry,TSN,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",23.89,11.15,Valuation,0.46672247802427796
Price/Sales (TTM),2.86,0.51,Valuation,0.17832167832167833
Price/Book (MRQ),37.33,1.53,Valuation,0.04098580230377712
"PEG Ratio (TTM, GAAP)",0.72,1.19,Valuation,1.6527777777777777
Gross Profit Margin (TTM),0.3012,0.1137,Profitability,0.3774900398406374
Operating Profit Margin (TTM),0.1097,0.0637,Profitability,0.5806745670009116
Net Profit Margin (TTM),0.0735,0.045599999999999995,Profitability,0.6204081632653061
Annual Dividend Yield,0.0259,0.0278,Dividend,1.0733590733590732
Dividend Change %,0.0004,0.25,Dividend,625.0
"Dividend Growth Rate, 3 Years",0.0667,0.3572,Dividend,5.355322338830585
EPS Growth (MRQ),-0.0843,-0.3465,Gowth rates,4.110320284697509
EPS Growth (TTM),0.33170000000000005,-0.0409,Gowth rates,-0.12330419053361469
Revenue Growth (MRQ),0.042800000000000005,0.0067,Gowth rates,0.15654205607476634
Revenue Growth (TTM),0.06269999999999999,0.06849999999999999,Gowth rates,1.0925039872408293
Return On Equity (TTM),0.2589,0.1411,Effectiveness,0.5449980687524141
Return On Assets (TTM),0.049400000000000006,0.059699999999999996,Effectiveness,1.2085020242914977
Return On Investment (TTM),0.0651,0.0694,Effectiveness,1.06605222734255
Revenue Per Employee (TTM),574344.0,308312.0,Effectiveness,0.5368072096165364
Total Debt/Total Capital (MRQ),0.4626,0.4537,Financial strength,0.9807609165585819
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,-0.0006,Financial strength,0.857142857142857
Quick Ratio (MRQ),0.88,0.7,Financial strength,0.7954545454545454
Interest Coverage (MRQ),19.97,4.21,Financial strength,0.21081622433650477
