,IBM
% Above Low,0.35810000000000003
% Held by Institutions,0.5542
52-Wk Range,['90.56 - 158.75']
Annual Dividend $,6.52
Annual Dividend %,0.0538
Ask,123.25
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,1.2
Bid,123.06
Bid Size,500.0
Closing Price,122.99
Day Change $,1.76
Day Change %,0.014499999999999999
Day High,123.23
Day Low,121.06
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",10.27
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.376
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,109.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",11.8
Prev Close,121.23
Short Interest,0.0209
Today's Open,122.67
Volume,5003939.0
Volume 10-day Avg,4788210.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-20 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-0.19164037854889593
Growth 1yr High Est,-0.04276827371695169
Growth 1yr Consensus Est,-0.11720432613292381
Growth 2yr Low Est,-0.08801531122566747
Growth 2yr High Est,0.027356724230070073
Growth 2yr Consensus Est,-0.0303292934977987
Growth 5yr Low Est,-0.06359648804520768
Growth 5yr High Est,-0.005983788681388491
Growth 5yr Consensus Est,-0.034790138363298084
Growth 5yr Actual/Est,-0.01903347291386287
Growth 3yr Historic,-0.01535758245929117
Price/Earnings (TTM),11.8035
Price/Sales (TTM),1.40637
Price/Book (MRQ),5.38223
Price/Cash Flow (TTM),6.98094
5yr Low,90.56
5yr High,182.79
5yr Avg Return,-0.03611666666666666
EPS Growth 5yr,-0.0720325
Revenue Growth 5yr,-0.036258
Dividend Growth 5yr,0.08633660000000001
Short Int Current Month,18546011.0
Short Int Prev Month,16889957.0
Short Int Pct of Float,0.020900500000000002
Days to Cover,3.66857
Float,886.9279
Shares Outstanding,887.892
Institutions Holding Shares,2549.0
FCF Growth 5yr,-0.017793711983248174
"Price/Earnings (TTM, GAAP)",11.8
"PEG Ratio (TTM, GAAP)",3.01
Gross Profit Margin (TTM),0.47520000000000007
Operating Profit Margin (TTM),0.1076
Net Profit Margin (TTM),0.1198
Annual Dividend Yield,0.0538
Dividend Change %,0.0354
"Dividend Growth Rate, 3 Years",0.0535
EPS Growth (MRQ),-0.638
EPS Growth (TTM),-0.1285
Revenue Growth (MRQ),-0.1931
Revenue Growth (TTM),-0.0275
Return On Equity (TTM),0.5028
Return On Assets (TTM),0.0645
Return On Investment (TTM),0.0897
Revenue Per Employee (TTM),217065.0
Total Debt/Total Capital (MRQ),0.7617
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),0.91
Interest Coverage (MRQ),3.58
newConstructs,3
researchTeam,reduce
theStreet,hold
cfra,4
ford,3
marketEdge opinion,avoid
marketEdge,1
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
theStreet since,2020-03-18 00:00:00
cfra since,2017-07-19 00:00:00
ford since,2020-03-13 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2019-04-11 00:00:00
