,IBM
Next Earnings Announcement,2020-07-20 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-0.19164037854889593
Growth 1yr High Est,-0.04276827371695169
Growth 1yr Consensus Est,-0.11720432613292381
Growth 2yr Low Est,-0.08801531122566747
Growth 2yr High Est,0.027356724230070073
Growth 2yr Consensus Est,-0.0303292934977987
Growth 5yr Low Est,-0.06359648804520768
Growth 5yr High Est,-0.005983788681388491
Growth 5yr Consensus Est,-0.034790138363298084
Growth 5yr Actual/Est,-0.01903347291386287
Growth 3yr Historic,-0.01535758245929117
