,2015,2016,2017,2018,2019,2020,Report
high,115.89,178.21,211.06,231.33,421.45,491.92,
low,83.89,98.0,147.79,172.09,206.79,275.5,
change,0.3178,0.3373,0.3469,0.0442,0.8116,0.2737,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash and Short Term Invs,200.0,168.0,167.0,246.0,270.0,,Balance Sheet
"Trade Accts Recvble, Gross",41.0,51.0,53.0,58.0,62.0,,Balance Sheet
Prov. for Doubtful Accts,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
"Total Receivables, Net",40.0,51.0,53.0,58.0,62.0,,Balance Sheet
Prepaid Expenses,10.0,12.0,19.0,21.0,27.0,,Balance Sheet
Total Current Assets,,,,,,,Balance Sheet
Buildings,8.0,8.0,11.0,33.0,28.0,,Balance Sheet
Machinery/Equipment,90.0,96.0,127.0,146.0,174.0,,Balance Sheet
Other Prop./Plant/Equip.,2.0,2.0,2.0,5.0,86.0,,Balance Sheet
Prop./Plant/Equip. - Gross,101.0,106.0,140.0,184.0,288.0,,Balance Sheet
Accumulated Depreciation,-70.0,-75.0,-101.0,-121.0,-135.0,,Balance Sheet
Prop./Plant/Equip. - Net,31.0,31.0,39.0,63.0,153.0,,Balance Sheet
"Goodwill, Net",60.0,60.0,60.0,60.0,147.0,,Balance Sheet
Intangibles - Gross,12.0,12.0,12.0,12.0,71.0,,Balance Sheet
Accum. Intangible Amort.,-8.0,-8.0,-9.0,-9.0,-10.0,,Balance Sheet
Intangibles - Net,4.0,4.0,3.0,3.0,61.0,,Balance Sheet
Long Term Investments,85.0,194.0,240.0,241.0,235.0,,Balance Sheet
Def. Inc. Tax - LT Asset,9.0,9.0,2.0,3.0,1.0,,Balance Sheet
Total Assets,439.0,528.0,581.0,696.0,955.0,,Balance Sheet
Payable/Accrued,12.0,15.0,14.0,29.0,19.0,,Balance Sheet
Accrued Expenses,29.0,35.0,37.0,39.0,145.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
"Other Curr. Lblts, Total",4.0,8.0,13.0,16.0,17.0,,Balance Sheet
Total Current Liabilities,,,,,,,Balance Sheet
Total Long Term Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Total Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
"Other Liabilities, Total",2.0,3.0,3.0,3.0,3.0,,Balance Sheet
Total Liabilities,48.0,60.0,66.0,88.0,185.0,,Balance Sheet
Redeemable Preferred Stock,,0.0,0.0,0.0,0.0,,Balance Sheet
Common Stock,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Additional Paid-In Capital,321.0,342.0,331.0,342.0,343.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),168.0,255.0,354.0,463.0,591.0,,Balance Sheet
Treasury Stock - Common,-93.0,-117.0,-160.0,-185.0,-153.0,,Balance Sheet
"Other Equity, Total",-5.0,-12.0,-10.0,-12.0,-10.0,,Balance Sheet
