,MKTX
% Below High,0.0154
% Held by Institutions,0.9534999999999999
52-Wk Range,['275.12 - 491.92']
Annual Dividend $,2.4
Annual Dividend %,0.005
Ask,484.98
Ask Size,800.0
B/A Ratio,0.75
B/A Size,600x800
Beta,0.6
Bid,484.32
Bid Size,600.0
Closing Price,484.32
Day Change $,3.57
Day Change %,0.0074
Day High,490.81
Day Low,475.84
Dividend Pay Date,2020-05-27 00:00:00
"EPS (TTM, GAAP)",5.98
Ex-dividend,2020-05-12 00:00:00
Ex-dividend Date,05/12/20
Historical Volatility,0.47100000000000003
Last (size),2.0
Last (time),4:15p ET 05/08/20
Market Cap,18.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",80.46
Prev Close,480.75
Short Interest,0.0256
Today's Open,482.0
Volume,298482.0
Volume 10-day Avg,286239.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.24440298507462677
Growth 1yr High Est,0.5801104972375692
Growth 1yr Consensus Est,0.412256741156098
Growth 2yr Low Est,0.16268125265725342
Growth 2yr High Est,0.2708244793880154
Growth 2yr Consensus Est,0.2167528660226344
Growth 5yr Low Est,0.17304214171211107
Growth 5yr High Est,0.24589473368892653
Growth 5yr Consensus Est,0.2094684377005188
Growth 5yr Actual/Est,0.15998560358516595
Growth 3yr Historic,0.0674286235281859
Price/Earnings (TTM),80.45756
Price/Sales (TTM),32.78887
Price/Book (MRQ),22.84495
Price/Cash Flow (TTM),71.18215
5yr Low,83.89
5yr High,491.92
5yr Avg Return,0.35525
EPS Growth 5yr,0.2228364
Revenue Growth 5yr,0.1424245
Dividend Growth 5yr,0.2609273
Short Int Current Month,932036.0
Short Int Prev Month,838497.0
Short Int Pct of Float,0.0256147
Days to Cover,3.33178
Float,36.38032
Shares Outstanding,37.91021
Institutions Holding Shares,691.0
FCF Growth 5yr,0.24034341000353096
"Price/Earnings (TTM, GAAP)",80.46
"PEG Ratio (TTM, GAAP)",5.05
Gross Profit Margin (TTM),0.9475
Operating Profit Margin (TTM),0.5015999999999999
Net Profit Margin (TTM),0.4087
Annual Dividend Yield,0.005
Dividend Change %,0.2143
"Dividend Growth Rate, 3 Years",0.2518
EPS Growth (MRQ),0.4886
EPS Growth (TTM),0.2772
Revenue Growth (MRQ),0.30210000000000004
Revenue Growth (TTM),0.2481
Return On Equity (TTM),0.318
Return On Assets (TTM),0.2596
Return On Investment (TTM),0.31629999999999997
Revenue Per Employee (TTM),1054723.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,3
researchTeam,accumulate
marketEdge opinion,long
marketEdge,0
cfra,
theStreet,buy
ford,2
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,
theStreet since,2009-10-02 00:00:00
ford since,2020-04-24 00:00:00
creditSuisse since,2019-12-16 00:00:00
