,Industry,MKTX,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.36,80.46,Valuation,4.63479262672811
Price/Sales (TTM),8.13,32.79,Valuation,4.03321033210332
Price/Book (MRQ),80.33,22.84,Valuation,0.2843271505041703
"PEG Ratio (TTM, GAAP)",6.93,5.05,Valuation,0.7287157287157288
Gross Profit Margin (TTM),0.46159999999999995,0.9475,Profitability,2.0526429809358753
Operating Profit Margin (TTM),0.29710000000000003,0.5015999999999999,Profitability,1.6883204308313695
Net Profit Margin (TTM),0.19890000000000002,0.4087,Profitability,2.054801407742584
Annual Dividend Yield,0.027999999999999997,0.005,Dividend,0.1785714285714286
Dividend Change %,0.1462,0.2143,Dividend,1.4658002735978113
"Dividend Growth Rate, 3 Years",0.1512,0.2518,Dividend,1.6653439153439156
EPS Growth (MRQ),-0.2902,0.4886,Gowth rates,-1.6836664369400411
EPS Growth (TTM),0.025,0.2772,Gowth rates,11.088
Revenue Growth (MRQ),-0.18910000000000002,0.30210000000000004,Gowth rates,-1.597567424643046
Revenue Growth (TTM),0.0143,0.2481,Gowth rates,17.34965034965035
Return On Equity (TTM),4.7112,0.318,Effectiveness,0.06749872643912379
Return On Assets (TTM),0.057800000000000004,0.2596,Effectiveness,4.491349480968858
Return On Investment (TTM),0.11359999999999999,0.31629999999999997,Effectiveness,2.784330985915493
Revenue Per Employee (TTM),838344.0,1054723.0,Effectiveness,1.258102879009094
Total Debt/Total Capital (MRQ),0.42210000000000003,0.0,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,0.0005,,Financial strength,
Quick Ratio (MRQ),0.0,,Financial strength,
Interest Coverage (MRQ),12.55,,Financial strength,
