,IT
% Above Low,0.5938
% Held by Institutions,0.9854
52-Wk Range,['76.91 - 171.78']
Annual Dividend $,
Annual Dividend %,
Ask,153.0
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,1.5
Bid,80.0
Bid Size,100.0
Closing Price,122.58
Day Change $,-1.23
Day Change %,-0.009899999999999999
Day High,126.48
Day Low,120.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.56
Ex-dividend Date,No dividend
Historical Volatility,0.474
Last (size),4200.0
Last (time),6:30p ET 05/08/20
Market Cap,10.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",48.27
Prev Close,123.81
Short Interest,0.0194
Today's Open,125.81
Volume,795807.0
Volume 10-day Avg,653369.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.32320441988950277
Growth 1yr High Est,-0.055837563451776595
Growth 1yr Consensus Est,-0.18952099167063968
Growth 2yr Low Est,0.00982636148381999
Growth 2yr High Est,0.07423175590852032
Growth 2yr Consensus Est,0.04202905869617016
Growth 5yr Low Est,0.021089651330145287
Growth 5yr High Est,0.06854444938283158
Growth 5yr Consensus Est,0.04481705035648843
Growth 5yr Actual/Est,0.04142121021555256
Growth 3yr Historic,0.04350971311050705
Price/Earnings (TTM),48.26919
Price/Sales (TTM),2.60067
Price/Book (MRQ),11.76082
Price/Cash Flow (TTM),24.80668
5yr Low,76.91
5yr High,171.78
5yr Avg Return,0.0765
EPS Growth 5yr,0.0482991
Revenue Growth 5yr,0.1599784
Dividend Growth 5yr,
Short Int Current Month,1675294.0
Short Int Prev Month,2073499.0
Short Int Pct of Float,0.019439599999999998
Days to Cover,2.35374
Float,86.27856
Shares Outstanding,89.1744
Institutions Holding Shares,661.0
FCF Growth 5yr,0.2214441500670526
"Price/Earnings (TTM, GAAP)",48.27
"PEG Ratio (TTM, GAAP)",11.92
Gross Profit Margin (TTM),0.6348
Operating Profit Margin (TTM),0.0867
Net Profit Margin (TTM),0.055
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.6406000000000001
EPS Growth (TTM),1.0178
Revenue Growth (MRQ),0.2029
Revenue Growth (TTM),0.0679
Return On Equity (TTM),0.2608
Return On Assets (TTM),0.0349
Return On Investment (TTM),0.0592
Revenue Per Employee (TTM),253846.0
Total Debt/Total Capital (MRQ),0.6994
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),6.0
theStreet,hold
newConstructs,4
researchTeam,hold
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,3
creditSuisse,
theStreet since,2020-03-20 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
cfra since,2019-07-30 00:00:00
ford since,2018-06-15 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
