,INTU
% Below High,0.0864
% Held by Institutions,0.8764
52-Wk Range,['187.68 - 306.89']
Annual Dividend $,2.12
Annual Dividend %,0.0075
Ask,284.99
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,280.4
Bid Size,100.0
Closing Price,280.36
Day Change $,-0.44
Day Change %,-0.0016
Day High,282.96
Day Low,277.16
Dividend Pay Date,2020-04-20 00:00:00
"EPS (TTM, GAAP)",6.18
Ex-dividend,2020-04-09 00:00:00
Ex-dividend Date,04/09/20
Historical Volatility,0.44799999999999995
Last (size),30.0
Last (time),4:15p ET 05/08/20
Market Cap,73.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",45.47
Prev Close,280.8
Short Interest,0.0108
Today's Open,282.0
Volume,1209530.0
Volume 10-day Avg,1098477.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-05-21 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-0.09445277361319337
Growth 1yr High Est,0.1224188790560472
Growth 1yr Consensus Est,0.013983052721426914
Growth 2yr Low Est,0.06370076551128406
Growth 2yr High Est,0.16304912415351636
Growth 2yr Consensus Est,0.11337494483240021
Growth 5yr Low Est,0.14969935300735823
Growth 5yr High Est,0.20231063193149945
Growth 5yr Consensus Est,0.17600499246942886
Growth 5yr Actual/Est,0.17207643262092437
Growth 3yr Historic,0.1188293499217869
Price/Earnings (TTM),45.47022
Price/Sales (TTM),10.26315
Price/Book (MRQ),19.6279
Price/Cash Flow (TTM),39.36784
5yr Low,79.63
5yr High,306.89
5yr Avg Return,0.20415000000000003
EPS Growth 5yr,0.1500741
Revenue Growth 5yr,0.0984052
Dividend Growth 5yr,0.19456050000000003
Short Int Current Month,2724892.0
Short Int Prev Month,2731035.0
Short Int Pct of Float,0.0108392
Days to Cover,1.85426
Float,251.3922
Shares Outstanding,260.4895
Institutions Holding Shares,1489.0
FCF Growth 5yr,0.14180294187043738
"Price/Earnings (TTM, GAAP)",45.47
"PEG Ratio (TTM, GAAP)",7.02
Gross Profit Margin (TTM),0.8225
Operating Profit Margin (TTM),0.2681
Net Profit Margin (TTM),0.2288
Annual Dividend Yield,0.0075
Dividend Change %,0.19210000000000002
"Dividend Growth Rate, 3 Years",0.1611
EPS Growth (MRQ),3.2105
EPS Growth (TTM),0.17550000000000002
Revenue Growth (MRQ),0.4558
Revenue Growth (TTM),0.1323
Return On Equity (TTM),0.5001
Return On Assets (TTM),0.271
Return On Investment (TTM),0.4165
Revenue Per Employee (TTM),758192.0
Total Debt/Total Capital (MRQ),0.0993
Change in Debt/Total Capital Quarter over Quarter,-0.0021
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,3
researchTeam,reduce
creditSuisse,outperform
theStreet,buy
cfra,2
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-16 00:00:00
creditSuisse since,2017-02-24 00:00:00
theStreet since,2015-11-20 00:00:00
cfra since,2020-04-11 00:00:00
ford since,2020-03-27 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
