,KSS
% Above Low,0.6713
% Held by Institutions,0.9702
52-Wk Range,['10.89 - 69.45']
Annual Dividend $,2.82
Annual Dividend %,0.1573
Ask,18.35
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.8
Bid,18.29
Bid Size,100.0
Closing Price,18.2
Day Change $,0.3
Day Change %,0.0168
Day High,18.92
Day Low,17.72
Dividend Pay Date,2020-04-01 00:00:00
"EPS (TTM, GAAP)",4.39
Ex-dividend,2020-03-17 00:00:00
Ex-dividend Date,03/17/20
Historical Volatility,0.8009999999999999
Last (size),500.0
Last (time),6:30p ET 05/08/20
Market Cap,2.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",4.08
Prev Close,17.9
Short Interest,0.15460000000000002
Today's Open,18.55
Volume,10042024.0
Volume 10-day Avg,11712636.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-05-19 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-1.869198312236287
Growth 1yr High Est,-0.5773195876288659
Growth 1yr Consensus Est,-1.2232589499325766
Growth 2yr Low Est,-1.61542439883659
Growth 2yr High Est,0.26012069399044513
Growth 2yr Consensus Est,-0.6776518524230724
Growth 5yr Low Est,-0.7502178529687247
Growth 5yr High Est,0.1823096190061852
Growth 5yr Consensus Est,-0.2839541169812698
Growth 5yr Actual/Est,-2.7793694670939626
Growth 3yr Historic,0.0510931639959086
Price/Earnings (TTM),4.076
Price/Sales (TTM),0.13913
Price/Book (MRQ),0.51237
Price/Cash Flow (TTM),1.73033
5yr Low,10.89
5yr High,83.28
5yr Avg Return,-0.14590000000000003
EPS Growth 5yr,0.0057417
Revenue Growth 5yr,0.0098043
Dividend Growth 5yr,0.11429980000000001
Short Int Current Month,23893965.0
Short Int Prev Month,18876656.0
Short Int Pct of Float,0.15455
Days to Cover,2.0292
Float,153.1029
Shares Outstanding,155.2465
Institutions Holding Shares,788.0
FCF Growth 5yr,0.12627226922943358
"Price/Earnings (TTM, GAAP)",4.08
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3922
Operating Profit Margin (TTM),0.0555
Net Profit Margin (TTM),0.0346
Annual Dividend Yield,0.1573
Dividend Change %,0.0984
"Dividend Growth Rate, 3 Years",0.10250000000000001
EPS Growth (MRQ),1.1823000000000001
EPS Growth (TTM),-0.0969
Revenue Growth (MRQ),0.4772
Revenue Growth (TTM),-0.0126
Return On Equity (TTM),0.1259
Return On Assets (TTM),0.051100000000000007
Return On Investment (TTM),0.06420000000000001
Revenue Per Employee (TTM),539838.0
Total Debt/Total Capital (MRQ),0.3805
Change in Debt/Total Capital Quarter over Quarter,-0.0018
Quick Ratio (MRQ),0.4
Interest Coverage (MRQ),9.18
newConstructs,2
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,hold
cfra,2
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-05-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2019-12-24 00:00:00
cfra since,2019-05-22 00:00:00
ford since,2020-04-17 00:00:00
creditSuisse since,2018-05-11 00:00:00
