,CFG
% Above Low,0.5722
% Held by Institutions,0.9787
52-Wk Range,['14.12 - 41.29']
Annual Dividend $,1.56
Annual Dividend %,0.07339999999999999
Ask,23.0
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,1.8
Bid,21.91
Bid Size,1000.0
Change Since Close,0.00| |(0.00%)
Closing Price,22.2
Day Change $,0.95
Day Change %,0.0447
Day High,22.42
Day Low,21.7
Dividend Pay Date,2020-05-13 00:00:00
"EPS (TTM, GAAP)",2.92
Ex-dividend,2020-04-28 00:00:00
Ex-dividend Date,04/28/20
Historical Volatility,0.649
Last (size),25.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,9.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.28
Prev Close,21.25
Short Interest,0.019799999999999998
Today's Open,21.93
Volume,4670401.0
Volume 10-day Avg,5750404.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-17 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-1.5973333333333333
Growth 1yr High Est,-0.46596858638743455
Growth 1yr Consensus Est,-1.031650959860384
Growth 2yr Low Est,-1.7049166666666666
Growth 2yr High Est,0.3454470793553025
Growth 2yr Consensus Est,-0.6797347936556821
Growth 5yr Low Est,-0.74188531102096
Growth 5yr High Est,0.28177593836093867
Growth 5yr Consensus Est,-0.23005468633001072
Growth 5yr Actual/Est,0.39027203845489183
Growth 3yr Historic,0.11168186222692034
Price/Earnings (TTM),7.27717
Price/Sales (TTM),1.38185
Price/Book (MRQ),0.4448
Price/Cash Flow (TTM),4.51893
5yr Low,14.12
5yr High,48.23
5yr Avg Return,0.029800000000000004
EPS Growth 5yr,0.19676590000000002
Revenue Growth 5yr,0.1105369
Dividend Growth 5yr,0.6854186
Short Int Current Month,8430557.0
Short Int Prev Month,7756021.0
Short Int Pct of Float,0.0197777
Days to Cover,1.50847
Float,424.6819
Shares Outstanding,426.5865
Institutions Holding Shares,905.0
FCF Growth 5yr,0.08373245179923065
"Price/Earnings (TTM, GAAP)",7.28
"PEG Ratio (TTM, GAAP)",1.27
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2637
Net Profit Margin (TTM),0.2113
Annual Dividend Yield,0.0734
Dividend Change %,0.38780000000000003
"Dividend Growth Rate, 3 Years",0.43520000000000003
EPS Growth (MRQ),-0.9714
EPS Growth (TTM),-0.18920000000000003
Revenue Growth (MRQ),-0.015300000000000001
Revenue Growth (TTM),0.016200000000000003
Return On Equity (TTM),0.0641
Return On Assets (TTM),0.008199999999999999
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.003
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
creditSuisse,neutral
theStreet,hold
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-27 00:00:00
creditSuisse since,2015-04-21 00:00:00
theStreet since,2020-03-09 00:00:00
cfra since,2018-05-09 00:00:00
ford since,2020-04-09 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
