,BIIB
% Below High,0.16260000000000002
% Held by Institutions,
52-Wk Range,['215.78 - 374.99']
Annual Dividend $,
Annual Dividend %,
Ask,316.0
Ask Size,100.0
Ask close,314.69
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,310.11
Bid Size,100.0
Bid close,313.16
Change Since Close,-0.02| |(-0.01%)
Closing Price,314.02
Day Change $,0.01
Day Change %,0.0
Day High,317.7
Day Low,311.37
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.469
Last (size),2.0
Last (time),3:59p ET 05/08/20
Last Trade,314.0
Market Cap,51.2B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",--x
Prev Close,314.01
Short Interest,
Today's Open,315.49
Volume,1126321.0
Volume 10-day Avg,1630055.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,31.0
Growth 1yr Low Est,-0.04442344045368618
Growth 1yr High Est,0.025774688676513113
Growth 1yr Consensus Est,-0.009324375888586534
Growth 2yr Low Est,-0.06045768132146884
Growth 2yr High Est,0.04761348776005214
Growth 2yr Consensus Est,-0.006422096780708347
Growth 5yr Low Est,0.0796800257462966
Growth 5yr High Est,0.14238300008047866
Growth 5yr Consensus Est,0.11103151291338763
Growth 5yr Actual/Est,0.11329413665593224
Growth 3yr Historic,0.1206453811718835
5yr Low,215.78
5yr High,420.99
5yr Avg Return,-0.032466666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.0818199
Dividend Growth 5yr,
FCF Growth 5yr,0.2222989548129463
newConstructs,1
researchTeam,reduce
theStreet,buy
cfra,3
ford,1
marketEdge opinion,neutralfromlong
marketEdge,-3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-04 00:00:00
theStreet since,2019-10-30 00:00:00
cfra since,2018-04-24 00:00:00
ford since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2019-12-13 00:00:00
