,ISRG
Price/Earnings (TTM),46.21447
Price/Sales (TTM),13.5743
Price/Book (MRQ),7.34605
Price/Cash Flow (TTM),38.26851
5yr Low,149.0
5yr High,619.0
5yr Avg Return,0.24171666666666666
EPS Growth 5yr,0.2553078
Revenue Growth 5yr,0.1600623
Dividend Growth 5yr,
Short Int Current Month,3006110.0
Short Int Prev Month,2393457.0
Short Int Pct of Float,0.0260263
Days to Cover,2.86911
Float,115.3622
Shares Outstanding,116.6178
Institutions Holding Shares,1401.0
% Held by Institutions,0.890346
FCF Growth 5yr,0.11422627064791979
