,ISRG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",46.21,41.85,Valuation,1.1041816009557945
Price/Sales (TTM),13.57,9.88,Valuation,1.373481781376518
Price/Book (MRQ),7.35,13.88,Valuation,0.5295389048991354
"PEG Ratio (TTM, GAAP)",14.67,0.58,Valuation,25.293103448275865
Gross Profit Margin (TTM),0.6904000000000001,0.6071,Profitability,1.1372096853895572
Operating Profit Margin (TTM),0.3052,-0.0415,Profitability,-7.35421686746988
Net Profit Margin (TTM),0.3028,-0.045,Profitability,-6.728888888888889
Annual Dividend Yield,,0.0079,Dividend,
Dividend Change %,,0.0582,Dividend,
"Dividend Growth Rate, 3 Years",,0.049,Dividend,
EPS Growth (MRQ),-0.1236,8.9487,Gowth rates,-0.013812062087230547
EPS Growth (TTM),0.2144,0.7232,Gowth rates,0.29646017699115046
Revenue Growth (MRQ),-0.13949999999999999,0.1048,Gowth rates,-1.3311068702290074
Revenue Growth (TTM),0.19579999999999997,0.1169,Gowth rates,1.674935842600513
Return On Equity (TTM),0.17850000000000002,0.2389,Effectiveness,0.7471745500209294
Return On Assets (TTM),0.15380000000000002,0.0707,Effectiveness,2.1753889674681757
Return On Investment (TTM),0.17,0.08630000000000002,Effectiveness,1.9698725376593278
Revenue Per Employee (TTM),628488.0,329144.0,Effectiveness,1.9094621199231947
Total Debt/Total Capital (MRQ),0.0,0.35850000000000004,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0015,Financial strength,
Quick Ratio (MRQ),4.3,1.99,Financial strength,2.1608040201005023
Interest Coverage (MRQ),,10.05,Financial strength,
