,ZBRA
% Below High,0.06709999999999999
% Held by Institutions,0.9037999999999999
52-Wk Range,['150.06 - 260.40']
Annual Dividend $,
Annual Dividend %,
Ask,248.0
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,1.6
Bid,200.0
Bid Size,400.0
Closing Price,242.92
Day Change $,9.06
Day Change %,0.0387
Day High,243.33
Day Low,235.27
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",9.55
Ex-dividend Date,No dividend
Historical Volatility,0.522
Last (size),1200.0
Last (time),4:15p ET 05/08/20
Market Cap,12.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.43
Prev Close,233.86
Short Interest,0.022099999999999998
Today's Open,236.0
Volume,270549.0
Volume 10-day Avg,447808.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.4817970565453137
Growth 1yr High Est,-0.05572519083969474
Growth 1yr Consensus Est,-0.2687611236925042
Growth 2yr Low Est,0.1656784522953551
Growth 2yr High Est,0.12533061395767897
Growth 2yr Consensus Est,0.14550453312651704
Growth 5yr Low Est,0.27606761154736015
Growth 5yr High Est,0.2573083115673482
Growth 5yr Consensus Est,0.2666879615573542
Growth 5yr Actual/Est,0.2128417392404986
Growth 3yr Historic,0.1842493284634858
Price/Earnings (TTM),25.42935
Price/Sales (TTM),2.88459
Price/Book (MRQ),7.46422
Price/Cash Flow (TTM),18.96618
5yr Low,46.13
5yr High,260.4
5yr Avg Return,0.21995
EPS Growth 5yr,0.7403125
Revenue Growth 5yr,0.2183707
Dividend Growth 5yr,
Short Int Current Month,1159131.0
Short Int Prev Month,1513202.0
Short Int Pct of Float,0.0220946
Days to Cover,2.92123
Float,52.49703
Shares Outstanding,53.09156
Institutions Holding Shares,815.0
FCF Growth 5yr,-4.916488360799791
"Price/Earnings (TTM, GAAP)",25.43
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.46340000000000003
Operating Profit Margin (TTM),0.153
Net Profit Margin (TTM),0.1159
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.4765
EPS Growth (TTM),0.2198
Revenue Growth (MRQ),-0.1174
Revenue Growth (TTM),0.0381
Return On Equity (TTM),0.32439999999999997
Return On Assets (TTM),0.11359999999999999
Return On Investment (TTM),0.1539
Revenue Per Employee (TTM),545244.0
Total Debt/Total Capital (MRQ),0.4472
Change in Debt/Total Capital Quarter over Quarter,-0.0019
Quick Ratio (MRQ),0.49
Interest Coverage (MRQ),3.25
newConstructs,3
researchTeam,hold
marketEdge opinion,long
marketEdge,0
theStreet,buy
cfra,3
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2018-05-09 00:00:00
cfra since,2018-02-23 00:00:00
ford since,2020-03-13 00:00:00
creditSuisse since,
