,Industry,PRU,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.82,,Valuation,
Price/Sales (TTM),3.58,,Valuation,
Price/Book (MRQ),2.11,0.39,Valuation,0.18483412322274884
"PEG Ratio (TTM, GAAP)",0.14,,Valuation,
Gross Profit Margin (TTM),0.0168,,Profitability,
Operating Profit Margin (TTM),0.0969,,Profitability,
Net Profit Margin (TTM),0.065,,Profitability,
Annual Dividend Yield,0.026600000000000002,0.0746,Dividend,2.8045112781954886
Dividend Change %,0.0629,0.11109999999999999,Dividend,1.766295707472178
"Dividend Growth Rate, 3 Years",0.1051,0.1262,Dividend,1.2007611798287345
EPS Growth (MRQ),-0.217,,Gowth rates,
EPS Growth (TTM),0.8533,,Gowth rates,
Revenue Growth (MRQ),0.1638,,Gowth rates,
Revenue Growth (TTM),0.109,,Gowth rates,
Return On Equity (TTM),0.1097,,Effectiveness,
Return On Assets (TTM),0.0278,,Effectiveness,
Return On Investment (TTM),0.015600000000000001,,Effectiveness,
Revenue Per Employee (TTM),1325439.0,,Effectiveness,
Total Debt/Total Capital (MRQ),0.2691,0.2816,Financial strength,1.0464511334076552
Change in Debt/Total Capital Quarter over Quarter,0.0003,-0.0004,Financial strength,-1.3333333333333335
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),10.21,,Financial strength,
