,SPG
% Above Low,0.37329999999999997
% Held by Institutions,0.9656999999999999
52-Wk Range,['42.25 - 177.93']
Annual Dividend $,8.4
Annual Dividend %,0.1474
Ask,58.64
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,1.4
Bid,58.31
Bid Size,300.0
Closing Price,58.02
Day Change $,1.02
Day Change %,0.0179
Day High,60.5
Day Low,57.81
Dividend Pay Date,2020-02-28 00:00:00
"EPS (TTM, GAAP)",6.81
Ex-dividend,2020-02-13 00:00:00
Ex-dividend Date,02/13/20
Historical Volatility,0.7440000000000001
Last (size),50.0
Last (time),6:30p ET 05/08/20
Market Cap,17.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.52
Prev Close,57.0
Short Interest,0.0548
Today's Open,58.64
Volume,8342779.0
Volume 10-day Avg,8721878.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-05-11 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.0060606060606061
Growth 1yr High Est,0.07407407407407418
Growth 1yr Consensus Est,0.03400673400673404
Growth 2yr Low Est,0.05565872135994088
Growth 2yr High Est,0.070830140485313
Growth 2yr Consensus Est,0.06324443092262694
Growth 5yr Low Est,0.044388326754283836
Growth 5yr High Est,0.04032443580156886
Growth 5yr Consensus Est,0.04235638127792635
Growth 5yr Actual/Est,0.05809643986995139
Growth 3yr Historic,0.031632314371355
Price/Earnings (TTM),8.51545
Price/Sales (TTM),3.08108
Price/Book (MRQ),7.16775
Price/Cash Flow (TTM),4.64921
5yr Low,42.25
5yr High,229.1
5yr Avg Return,-0.13648333333333335
EPS Growth 5yr,0.0900224
Revenue Growth 5yr,0.033931
Dividend Growth 5yr,0.1001557
Short Int Current Month,16638712.0
Short Int Prev Month,14620396.0
Short Int Pct of Float,0.054814800000000004
Days to Cover,2.56708
Float,302.8647
Shares Outstanding,305.6222
Institutions Holding Shares,1068.0
FCF Growth 5yr,0.08426215699859319
"Price/Earnings (TTM, GAAP)",8.52
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8225
Operating Profit Margin (TTM),0.4886
Net Profit Margin (TTM),0.42100000000000004
Annual Dividend Yield,0.1448
Dividend Change %,0.0506
"Dividend Growth Rate, 3 Years",0.0849
EPS Growth (MRQ),-0.0613
EPS Growth (TTM),-0.10740000000000001
Revenue Growth (MRQ),0.0509
Revenue Growth (TTM),0.0195
Return On Equity (TTM),0.7314
Return On Assets (TTM),0.07830000000000001
Return On Investment (TTM),0.0893
Revenue Per Employee (TTM),1918396.0
Total Debt/Total Capital (MRQ),0.8853
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),11.86
newConstructs,1
researchTeam,reduce
theStreet,hold
cfra,2
ford,1
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-11-25 00:00:00
theStreet since,2020-03-12 00:00:00
cfra since,2020-02-15 00:00:00
ford since,2020-04-03 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
