,DVA
% Below High,0.1042
% Held by Institutions,0.9556999999999999
52-Wk Range,['43.40 - 90.15']
Annual Dividend $,
Annual Dividend %,
Ask,82.2
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,79.5
Bid Size,100.0
Closing Price,80.76
Day Change $,0.6
Day Change %,0.0075
Day High,81.38
Day Low,79.96
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.82
Ex-dividend Date,No dividend
Historical Volatility,0.418
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,9.8B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",13.76
Prev Close,80.16
Short Interest,0.047400000000000005
Today's Open,81.04
Volume,1247996.0
Volume 10-day Avg,1305800.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.17878192534381143
Growth 1yr High Est,0.17100371747211884
Growth 1yr Consensus Est,0.17489282140796514
Growth 2yr Low Est,0.07605762933857235
Growth 2yr High Est,0.13073995397415472
Growth 2yr Consensus Est,0.10339879165636354
Growth 5yr Low Est,0.16902744909067727
Growth 5yr High Est,0.19279949760307336
Growth 5yr Consensus Est,0.1809134733468753
Growth 5yr Actual/Est,0.1974167560016743
Growth 3yr Historic,0.14697656170902101
Price/Earnings (TTM),13.76322
Price/Sales (TTM),0.84999
Price/Book (MRQ),5.01265
Price/Cash Flow (TTM),5.89637
5yr Low,43.4
5yr High,90.15
5yr Avg Return,0.024649999999999995
EPS Growth 5yr,0.0659154
Revenue Growth 5yr,-0.023022900000000002
Dividend Growth 5yr,
Short Int Current Month,5798828.0
Short Int Prev Month,6567418.0
Short Int Pct of Float,0.0474479
Days to Cover,3.96546
Float,118.4575
Shares Outstanding,121.8
Institutions Holding Shares,659.0
FCF Growth 5yr,0.3943224942018575
"Price/Earnings (TTM, GAAP)",13.76
"PEG Ratio (TTM, GAAP)",0.98
Gross Profit Margin (TTM),0.31010000000000004
Operating Profit Margin (TTM),0.15080000000000002
Net Profit Margin (TTM),0.0901
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.026400000000000003
EPS Growth (TTM),0.7874
Revenue Growth (MRQ),-0.0198
Revenue Growth (TTM),0.0166
Return On Equity (TTM),0.2803
Return On Assets (TTM),0.051500000000000004
Return On Investment (TTM),0.0767
Revenue Per Employee (TTM),176717.0
Total Debt/Total Capital (MRQ),0.7187
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),1.77
Interest Coverage (MRQ),6.32
newConstructs,2
researchTeam,hold
cfra,3
theStreet,buy
ford,1
marketEdge opinion,neutralfromlong
marketEdge,-2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
cfra since,2013-05-08 00:00:00
theStreet since,2019-07-25 00:00:00
ford since,2020-04-09 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
