,DVA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.76,22.76,Valuation,0.6045694200351494
Price/Sales (TTM),0.85,10.65,Valuation,0.07981220657276995
Price/Book (MRQ),5.01,6.03,Valuation,0.8308457711442785
"PEG Ratio (TTM, GAAP)",0.98,62.83,Valuation,0.015597644437370682
Gross Profit Margin (TTM),0.31010000000000004,0.1463,Profitability,2.119617224880383
Operating Profit Margin (TTM),0.15080000000000002,0.028300000000000002,Profitability,5.328621908127209
Net Profit Margin (TTM),0.0901,0.0068000000000000005,Profitability,13.249999999999998
Annual Dividend Yield,,0.0122,Dividend,
Dividend Change %,,0.10099999999999999,Dividend,
"Dividend Growth Rate, 3 Years",,0.10400000000000001,Dividend,
EPS Growth (MRQ),-0.026400000000000003,0.608,Gowth rates,-0.04342105263157895
EPS Growth (TTM),0.7874,0.0036,Gowth rates,218.72222222222223
Revenue Growth (MRQ),-0.0198,0.1227,Gowth rates,-0.16136919315403425
Revenue Growth (TTM),0.0166,0.21739999999999998,Gowth rates,0.07635694572217112
Return On Equity (TTM),0.2803,0.1627,Effectiveness,1.7228027043638596
Return On Assets (TTM),0.051500000000000004,0.050800000000000005,Effectiveness,1.013779527559055
Return On Investment (TTM),0.0767,0.016200000000000003,Effectiveness,4.734567901234567
Revenue Per Employee (TTM),176717.0,1202685.0,Effectiveness,0.14693539871204847
Total Debt/Total Capital (MRQ),0.7187,0.4826,Financial strength,1.4892250310816413
Change in Debt/Total Capital Quarter over Quarter,0.0005,0.0022,Financial strength,0.22727272727272727
Quick Ratio (MRQ),1.77,0.37,Financial strength,4.783783783783784
Interest Coverage (MRQ),6.32,10.31,Financial strength,0.6129970902036858
