,HRL
% Below High,0.0833
% Held by Institutions,0.4531
52-Wk Range,['37.00 - 51.53']
Annual Dividend $,0.93
Annual Dividend %,0.02
Ask,47.4
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,-0.1
Bid,46.0
Bid Size,100.0
Closing Price,47.24
Day Change $,0.65
Day Change %,0.013999999999999999
Day High,47.39
Day Low,46.88
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",1.8
Ex-dividend,2020-04-09 00:00:00
Ex-dividend Date,04/09/20
Historical Volatility,0.292
Last (size),225.0
Last (time),6:30p ET 05/08/20
Market Cap,25.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",25.89
Prev Close,46.59
Short Interest,0.10980000000000001
Today's Open,47.08
Volume,1141541.0
Volume 10-day Avg,2840541.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-05-21 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.04678362573099415
Growth 1yr High Est,0.0625
Growth 1yr Consensus Est,0.007858187134502925
Growth 2yr Low Est,0.01035051842284651
Growth 2yr High Est,0.05264037433155078
Growth 2yr Consensus Est,0.031495446377198644
Growth 5yr Low Est,0.035859738666394525
Growth 5yr High Est,0.06031879656497263
Growth 5yr Consensus Est,0.04808926761568358
Growth 5yr Actual/Est,0.04548196026342305
Growth 3yr Historic,0.031114144171469016
Price/Earnings (TTM),25.89124
Price/Sales (TTM),2.63144
Price/Book (MRQ),4.11017
Price/Cash Flow (TTM),21.69072
5yr Low,27.62
5yr High,51.53
5yr Avg Return,0.10486666666666666
EPS Growth 5yr,0.09990220000000001
Revenue Growth 5yr,0.0038571
Dividend Growth 5yr,0.1625333
Short Int Current Month,30678658.0
Short Int Prev Month,31825750.0
Short Int Pct of Float,0.1097923
Days to Cover,12.34942
Float,279.7946
Shares Outstanding,537.7761
Institutions Holding Shares,842.0
FCF Growth 5yr,-0.04830841521499949
"Price/Earnings (TTM, GAAP)",25.89
"PEG Ratio (TTM, GAAP)",6.47
Gross Profit Margin (TTM),0.19579999999999997
Operating Profit Margin (TTM),0.1229
Net Profit Margin (TTM),0.10300000000000001
Annual Dividend Yield,0.02
Dividend Change %,0.11599999999999999
"Dividend Growth Rate, 3 Years",0.1344
EPS Growth (MRQ),-0.0512
EPS Growth (TTM),0.11710000000000001
Revenue Growth (MRQ),-0.0468
Revenue Growth (TTM),-0.005600000000000001
Return On Equity (TTM),0.16620000000000001
Return On Assets (TTM),0.1193
Return On Investment (TTM),0.1403
Revenue Per Employee (TTM),506457.0
Total Debt/Total Capital (MRQ),0.0495
Change in Debt/Total Capital Quarter over Quarter,-0.005
Quick Ratio (MRQ),1.31
Interest Coverage (MRQ),
newConstructs,2
researchTeam,reduce
theStreet,buy
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
theStreet since,2009-02-10 00:00:00
cfra since,2020-03-10 00:00:00
ford since,2019-03-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2017-08-25 00:00:00
