,PNR
% Below High,0.26
% Held by Institutions,0.8867
52-Wk Range,['22.01 - 47.43']
Annual Dividend $,0.76
Annual Dividend %,0.0222
Ask,40.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,33.4
Bid Size,100.0
Closing Price,35.1
Day Change $,0.87
Day Change %,0.0254
Day High,35.38
Day Low,34.52
Dividend Pay Date,2020-08-07 00:00:00
"EPS (TTM, GAAP)",2.25
Ex-dividend,2020-07-23 00:00:00
Ex-dividend Date,07/23/20
Historical Volatility,0.454
Last (size),59.0
Last (time),6:30p ET 05/08/20
Market Cap,5.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.6
Prev Close,34.23
Short Interest,0.0179
Today's Open,34.68
Volume,804050.0
Volume 10-day Avg,1452331.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.18454935622317603
Growth 1yr High Est,0.07203389830508478
Growth 1yr Consensus Est,-0.05625772895904563
Growth 2yr Low Est,-0.06859046758527215
Growth 2yr High Est,0.08937663294700882
Growth 2yr Consensus Est,0.010393082680868332
Growth 5yr Low Est,-0.11881227924718152
Growth 5yr High Est,-0.04105340929481713
Growth 5yr Consensus Est,-0.07993284427099932
Growth 5yr Actual/Est,-0.08093579439130189
Growth 3yr Historic,-0.08037791573744801
Price/Earnings (TTM),15.59764
Price/Sales (TTM),1.95311
Price/Book (MRQ),3.07322
Price/Cash Flow (TTM),12.61812
5yr Low,22.01
5yr High,74.84
5yr Avg Return,-0.04673333333333333
EPS Growth 5yr,0.0288816
Revenue Growth 5yr,-0.087207
Dividend Growth 5yr,-0.08126989999999999
Short Int Current Month,3000364.0
Short Int Prev Month,3007617.0
Short Int Pct of Float,0.0178885
Days to Cover,2.68247
Float,165.3287
Shares Outstanding,165.7252
Institutions Holding Shares,657.0
FCF Growth 5yr,-0.12061703002064576
"Price/Earnings (TTM, GAAP)",15.6
"PEG Ratio (TTM, GAAP)",3.06
Gross Profit Margin (TTM),0.35840000000000005
Operating Profit Margin (TTM),0.1559
Net Profit Margin (TTM),0.1283
Annual Dividend Yield,0.0217
Dividend Change %,-0.3143
"Dividend Growth Rate, 3 Years",-0.187
EPS Growth (MRQ),-0.2851
EPS Growth (TTM),0.1524
Revenue Growth (MRQ),-0.0599
Revenue Growth (TTM),0.0195
Return On Equity (TTM),0.203
Return On Assets (TTM),0.0867
Return On Investment (TTM),0.10300000000000001
Revenue Per Employee (TTM),313505.0
Total Debt/Total Capital (MRQ),0.4339
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),1.39
Interest Coverage (MRQ),15.12
newConstructs,2
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,3
theStreet,hold
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-06 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2016-10-25 00:00:00
theStreet since,2020-03-13 00:00:00
ford since,2019-09-27 00:00:00
creditSuisse since,
