,CMI
% Below High,0.1362
% Held by Institutions,0.8242
52-Wk Range,['101.03 - 186.73']
Annual Dividend $,5.24
Annual Dividend %,0.0337
Ask,162.39
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.2
Bid,151.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,161.29
Day Change $,5.57
Day Change %,0.0358
Day High,162.0
Day Low,158.03
Dividend Pay Date,2020-03-05 00:00:00
"EPS (TTM, GAAP)",13.63
Ex-dividend,2020-02-20 00:00:00
Ex-dividend Date,02/20/20
Historical Volatility,0.406
Last (size),1000.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,23.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.43
Prev Close,155.72
Short Interest,0.025099999999999997
Today's Open,158.03
Volume,896404.0
Volume 10-day Avg,1115241.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.6487603305785123
Growth 1yr High Est,-0.4619354838709677
Growth 1yr Consensus Est,-0.55534790722474
Growth 2yr Low Est,0.018757089612704614
Growth 2yr High Est,0.04541115494701009
Growth 2yr Consensus Est,0.03208412227985735
Growth 5yr Low Est,0.11249955487870295
Growth 5yr High Est,0.12913991437153655
Growth 5yr Consensus Est,0.12081973462511975
Growth 5yr Actual/Est,0.07531045451193463
Growth 3yr Historic,0.0931867097121335
Price/Earnings (TTM),11.42595
Price/Sales (TTM),1.01748
Price/Book (MRQ),3.24967
Price/Cash Flow (TTM),8.17536
5yr Low,79.88
5yr High,194.18
5yr Avg Return,0.08185
EPS Growth 5yr,0.0993084
Revenue Growth 5yr,0.0416466
Dividend Growth 5yr,0.117721
Short Int Current Month,3702276.0
Short Int Prev Month,3668287.0
Short Int Pct of Float,0.0250983
Days to Cover,2.98627
Float,147.0325
Shares Outstanding,147.5261
Institutions Holding Shares,1362.0
FCF Growth 5yr,0.15430247897712318
"Price/Earnings (TTM, GAAP)",11.43
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2543
Operating Profit Margin (TTM),0.11230000000000001
Net Profit Margin (TTM),0.0942
Annual Dividend Yield,0.0337
Dividend Change %,0.1041
"Dividend Growth Rate, 3 Years",0.0701
EPS Growth (MRQ),0.7318000000000001
EPS Growth (TTM),-0.0799
Revenue Growth (MRQ),-0.10160000000000001
Revenue Growth (TTM),-0.0672
Return On Equity (TTM),0.2832
Return On Assets (TTM),0.1066
Return On Investment (TTM),0.17250000000000001
Revenue Per Employee (TTM),366437.0
Total Debt/Total Capital (MRQ),0.2948
Change in Debt/Total Capital Quarter over Quarter,0.0037
Quick Ratio (MRQ),0.89
Interest Coverage (MRQ),
newConstructs,2
researchTeam,hold
theStreet,buy
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2020-05-04 00:00:00
cfra since,2019-10-30 00:00:00
ford since,2020-01-24 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2008-02-01 00:00:00
