,ZTS
% Below High,0.1421
% Held by Institutions,0.9081
52-Wk Range,['90.14 - 146.26']
Annual Dividend $,0.8
Annual Dividend %,0.0064
Ask,126.0
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.8
Bid,123.0
Bid Size,100.0
Closing Price,125.47
Day Change $,1.23
Day Change %,0.009899999999999999
Day High,126.36
Day Low,124.82
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",3.36
Ex-dividend,2020-04-16 00:00:00
Ex-dividend Date,04/16/20
Historical Volatility,0.381
Last (size),55.0
Last (time),6:30p ET 05/08/20
Market Cap,59.6B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",37.32
Prev Close,124.24
Short Interest,0.0097
Today's Open,125.21
Volume,1617588.0
Volume 10-day Avg,2486772.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-08-06 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.1120448179271708
Growth 1yr High Est,0.09890109890109877
Growth 1yr Consensus Est,-0.006571859513036016
Growth 2yr Low Est,0.037037527944931925
Growth 2yr High Est,0.12945054945054935
Growth 2yr Consensus Est,0.08324403869774064
Growth 5yr Low Est,0.1373513203050223
Growth 5yr High Est,0.1817391636141636
Growth 5yr Consensus Est,0.15954524195959296
Growth 5yr Actual/Est,0.15425714409748403
Growth 3yr Historic,0.11677649094781684
Price/Earnings (TTM),37.3246
Price/Sales (TTM),9.40067
Price/Book (MRQ),21.64234
Price/Cash Flow (TTM),29.28296
5yr Low,37.73
5yr High,146.26
5yr Avg Return,0.20278333333333332
EPS Growth 5yr,0.2180311
Revenue Growth 5yr,0.055209
Dividend Growth 5yr,0.1701635
Short Int Current Month,4608149.0
Short Int Prev Month,4915489.0
Short Int Pct of Float,0.009728
Days to Cover,1.98113
Float,473.753
Shares Outstanding,474.9408
Institutions Holding Shares,1545.0
FCF Growth 5yr,0.3201259721674725
"Price/Earnings (TTM, GAAP)",37.32
"PEG Ratio (TTM, GAAP)",5.5
Gross Profit Margin (TTM),0.6970000000000001
Operating Profit Margin (TTM),0.3024
Net Profit Margin (TTM),0.2541
Annual Dividend Yield,0.0064
Dividend Change %,0.30160000000000003
"Dividend Growth Rate, 3 Years",0.1893
EPS Growth (MRQ),0.0902
EPS Growth (TTM),0.21280000000000002
Revenue Growth (MRQ),-0.0836
Revenue Growth (TTM),0.0719
Return On Equity (TTM),0.6355
Return On Assets (TTM),0.1438
Return On Investment (TTM),0.1643
Revenue Per Employee (TTM),598019.0
Total Debt/Total Capital (MRQ),0.7012999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),1.91
Interest Coverage (MRQ),10.4
researchTeam,hold
newConstructs,3
theStreet,buy
marketEdge opinion,neutralfromlong
marketEdge,-3
cfra,5
ford,3
creditSuisse,outperform
researchTeam since,2020-04-09 00:00:00
newConstructs since,2020-05-08 00:00:00
theStreet since,2015-12-07 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-02-14 00:00:00
ford since,2019-12-20 00:00:00
creditSuisse since,2016-02-03 00:00:00
